Vardas         Pavarde         ND1  ND2  ND3  ND4  ND5     Egz.
Vardas265            Pavarde265    2    4    6    7    2      6
Vardas266            Pavarde266   10    5   10   10    3      1
Vardas267            Pavarde267    4    8    7    4   10      5
Vardas268            Pavarde268    8    2    2    4    4      1
Vardas269            Pavarde269    6    8    1    8    6      7
Vardas270            Pavarde270    1   10    5    4    1      2
Vardas271            Pavarde271    8    9    4    3    6      6
Vardas272            Pavarde272    7    7    3    4    5     10
Vardas273            Pavarde273    4    5    8    8    1      3
Vardas274            Pavarde274    1    1    9    9    9      9
Vardas275            Pavarde275    9    7    9    8    6      5
Vardas276            Pavarde276    3    7    6    3   10      2
Vardas277            Pavarde277    9   10    2    8   10      4
Vardas278            Pavarde278    9    8    1    7    4     10
Vardas279            Pavarde279    4    7    3    1    3      4
Vardas280            Pavarde280    7    4    7    4    9      9
Vardas281            Pavarde281    8    1    9    7    7      3
Vardas282            Pavarde282    5    4    9   10    9      9
Vardas283            Pavarde283    9   10    1    6    6      1
Vardas284            Pavarde284    8    5    4    6    9      7
Vardas285            Pavarde285    8    3    3    3    2      8
Vardas286            Pavarde286    7    2    3    3   10      1
Vardas287            Pavarde287    4   10   10    6   10     10
Vardas288            Pavarde288    3    5    8    3    8      1
Vardas289            Pavarde289    7    5   10    6    9      9
Vardas290            Pavarde290    7    9    2    7   10      9
Vardas291            Pavarde291    2    4    9   10   10      8
Vardas292            Pavarde292    3    7    9   10    5      3
Vardas293            Pavarde293    4    7    9    6    5      5
Vardas294            Pavarde294   10    4    8   10    5     10
Vardas295            Pavarde295    9    2    1    7    1      6
Vardas296            Pavarde296    8    2    5    7    2      7
Vardas297            Pavarde297    1    2    1    2   10      5
Vardas298            Pavarde298    1    9    6    4    8      8
Vardas299            Pavarde299    6    6    5    2    5      4
Vardas300            Pavarde300    1    8    6    9    9      1
Vardas301            Pavarde301   10    2    2    3    5     10
Vardas302            Pavarde302   10    1    8    1    4      3
Vardas303            Pavarde303    9    1    1    7    8      5
Vardas304            Pavarde304    7    2    7    2    8      7
Vardas305            Pavarde305    6    1    8    2   10      1
Vardas306            Pavarde306    8    2    1    8    2      1
Vardas307            Pavarde307   10    7    7    5    7      6
Vardas308            Pavarde308    3    8    2    1    8      1
Vardas309            Pavarde309    4    8    3    9    6      8
Vardas310            Pavarde310    6    3    5    8   10     10
Vardas311            Pavarde311   10    4    6    5    6      4
Vardas312            Pavarde312    4   10    4    4    9     10
Vardas313            Pavarde313    3    7    8   10    2      2
Vardas314            Pavarde314    3    6   10    7    6     10
Vardas315            Pavarde315    2    3    7    9    4      1
Vardas316            Pavarde316   10    1    8    4    1      1
Vardas317            Pavarde317    5    3    3    5    4      7
Vardas318            Pavarde318    3    5    8    8    8      5
Vardas319            Pavarde319    5    6    1    7    6      3
Vardas320            Pavarde320    5    7    5    5    9      6
Vardas321            Pavarde321    6    4    2    4    3     10
Vardas322            Pavarde322    6    8    2    6    6      4
Vardas323            Pavarde323    2    8    4    8    5      7
Vardas324            Pavarde324    3   10   10    3    1      6
Vardas325            Pavarde325    6    2    7    9    6      2
Vardas326            Pavarde326    1    7    1    4    7      5
Vardas327            Pavarde327    4    9    5    2    5      2
Vardas328            Pavarde328    5    2    1    7    7      9
Vardas329            Pavarde329   10    7    1    8    7      5
Vardas330            Pavarde330    4    6    4    4    5      7
Vardas331            Pavarde331    3    4    1    4    2     10
Vardas332            Pavarde332    1    3    9    1    9     10
Vardas333            Pavarde333   10    7   10   10   10      6
Vardas334            Pavarde334    9   10    4    3    2      1
Vardas335            Pavarde335    7   10    7   10    4      4
Vardas336            Pavarde336    2    7    1    6    4      1
Vardas337            Pavarde337    2    9    3    7    4      4
Vardas338            Pavarde338    9    1    5    7    6      4
Vardas339            Pavarde339    7    6   10   10    1      3
Vardas340            Pavarde340    9    4    2    3    2     10
Vardas341            Pavarde341    6    3    9    9    3      1
Vardas342            Pavarde342    5    8    9    7    2      9
Vardas343            Pavarde343    9   10    5    8   10      8
Vardas344            Pavarde344    5    7    8   10    4      4
Vardas345            Pavarde345    9    1    2    2    9      5
Vardas346            Pavarde346   10    4    7    1    5      2
Vardas347            Pavarde347    9    5    9    9    1      2
Vardas348            Pavarde348    5    6   10    5    5      3
Vardas349            Pavarde349   10    3    4   10    6      6
Vardas350            Pavarde350    2    7    3    3    3      9
Vardas351            Pavarde351   10    6    4   10    5      6
Vardas352            Pavarde352    9    3    2   10    9      2
Vardas353            Pavarde353    3    2    5    7    6     10
Vardas354            Pavarde354   10    8    7    5    4      9
Vardas355            Pavarde355    6    2    4    2   10      8
Vardas356            Pavarde356   10    7    6    2    3      8
Vardas357            Pavarde357    5    5    4    8    8      6
Vardas358            Pavarde358    6    6    6    7    3     10
Vardas359            Pavarde359    2    4    6    3    5      1
Vardas360            Pavarde360   10    5    6    7    3      9
Vardas361            Pavarde361    6    2   10    2    3      2
Vardas362            Pavarde362    4    8   10    4    4      6
Vardas363            Pavarde363    7    2    7    6    8      6
Vardas364            Pavarde364    2    4    2    9    8      8
Vardas365            Pavarde365    2    5    3    2    7      5
Vardas366            Pavarde366    2   10    8    9    6      3
Vardas367            Pavarde367    6    2    2    4    3      9
Vardas368            Pavarde368    4   10   10   10    6      5
Vardas369            Pavarde369    4    7    2    4    5      5
Vardas370            Pavarde370    3    5    4    2    7      3
Vardas371            Pavarde371    7    8   10    9    2      1
Vardas372            Pavarde372    5    4    3    4    6      4
Vardas373            Pavarde373    1    4    5    5    1     10
Vardas374            Pavarde374    8    3    8    8    8      8
Vardas375            Pavarde375    3    3    4   10    3      8
Vardas376            Pavarde376    7    7   10    3    6      6
Vardas377            Pavarde377    2    6    8    3   10      1
Vardas378            Pavarde378   10    6    4    2    6      9
Vardas379            Pavarde379    4    3    8    3    2      3
Vardas380            Pavarde380    4   10   10    5    4      5
Vardas381            Pavarde381    1    1    9    8    6     10
Vardas382            Pavarde382    5    8    8    9    3      7
Vardas383            Pavarde383    1    9    5    3    1      4
Vardas384            Pavarde384    6    4    3    3    5      5
Vardas385            Pavarde385   10    7    4    7    6      1
Vardas386            Pavarde386    8    4    9    4    4      7
Vardas387            Pavarde387    5    5    2    2    2      1
Vardas388            Pavarde388    6    7    4    9    8      6
Vardas389            Pavarde389    9    6    4    4    2      7
Vardas390            Pavarde390    4    2   10    3    5      6
Vardas391            Pavarde391    5    4    7    8    9      5
Vardas392            Pavarde392    8    1    3    3    9      8
Vardas393            Pavarde393   10    1    2    1    8      1
Vardas394            Pavarde394    8    4    6    2    3      5
Vardas395            Pavarde395    2    3    4    7    2      1
Vardas396            Pavarde396    2    8   10    8    8      6
Vardas397            Pavarde397    3    4    8    4    5      8
Vardas398            Pavarde398    1   10    8    3    9      3
Vardas399            Pavarde399   10    3    3    3    5      2
Vardas400            Pavarde400    5    5    9    9   10      8
Vardas401            Pavarde401    2    5    3    5    7      2
Vardas402            Pavarde402    7    1    5    3    9      2
Vardas403            Pavarde403    5    5    9    6    4      5
Vardas404            Pavarde404    8    6    6    6    3     10
Vardas405            Pavarde405   10    1    9    9    8     10
Vardas406            Pavarde406    3    6    5    1    6      7
Vardas407            Pavarde407    1    2    7    9    3      3
Vardas408            Pavarde408    6    5   10    2    4      5
Vardas409            Pavarde409    9    2    2    1    5      4
Vardas410            Pavarde410   10    3    9    9    6     10
Vardas411            Pavarde411    5    8    8    3    9      4
Vardas412            Pavarde412    8    4    7   10    1      8
Vardas413            Pavarde413    1    3    2    1    9      9
Vardas414            Pavarde414    7    9    3    2    6      7
Vardas415            Pavarde415    5    2   10    9    4      4
Vardas416            Pavarde416    1    7    1    8    9      8
Vardas417            Pavarde417    3    6    9    4    9      1
Vardas418            Pavarde418    2    1    9    7    3      8
Vardas419            Pavarde419   10    9    5   10    7      9
Vardas420            Pavarde420    1    9   10    6    6      1
Vardas421            Pavarde421    2    1    5   10    4      4
Vardas422            Pavarde422    1    6   10    9   10      5
Vardas423            Pavarde423    5    5    7    3    9      9
Vardas424            Pavarde424    4   10    5    4    9      1
Vardas425            Pavarde425    8    6    5    1    8      4
Vardas426            Pavarde426    4    7    7    3    1      3
Vardas427            Pavarde427    8    8    3    1    8      4
Vardas428            Pavarde428   10    7    1   10    1      1
Vardas429            Pavarde429    2    3    3    9    8      3
Vardas430            Pavarde430    5    7    8    5    7      7
Vardas431            Pavarde431    9    1    3   10   10      8
Vardas432            Pavarde432    6    1    5    3    6      8
Vardas433            Pavarde433    7    5   10    6    9      7
Vardas434            Pavarde434    9    5   10    2    6      7
Vardas435            Pavarde435    1    2   10    6    9      8
Vardas436            Pavarde436    9    4    5    5    6      2
Vardas437            Pavarde437   10    2    5    5    2      9
Vardas438            Pavarde438    5    4    8    3    5      8
Vardas439            Pavarde439    2    6    2    5    4      1
Vardas440            Pavarde440    2    2    3    7    8      3
Vardas441            Pavarde441    8   10    4    1    9      4
Vardas442            Pavarde442   10    2    9   10    9      8
Vardas443            Pavarde443    3    8    3    7   10      5
Vardas444            Pavarde444    6   10    1    7    5      5
Vardas445            Pavarde445    3    4   10    6    5      7
Vardas446            Pavarde446    5    5    2    2    2      1
Vardas447            Pavarde447    1    6   10    9    1      8
Vardas448            Pavarde448    4    2    9    5    9      2
Vardas449            Pavarde449    1    6    4    1    4      7
Vardas450            Pavarde450    8    3    7    1   10      7
Vardas451            Pavarde451    5    2    2    6    1      2
Vardas452            Pavarde452    8    2   10    6    7      5
Vardas453            Pavarde453   10    8    9    5    7      5
Vardas454            Pavarde454    7    4    4    4    1      4
Vardas455            Pavarde455    4    2    2    9    2     10
Vardas456            Pavarde456   10    4    6    6    8     10
Vardas457            Pavarde457   10    2    7   10    3      7
Vardas458            Pavarde458    6    5    4    2    7      9
Vardas459            Pavarde459    1    7    4    1    7      9
Vardas460            Pavarde460    4    9    1    9    4      3
Vardas461            Pavarde461    3    2    5   10    4      2
Vardas462            Pavarde462    7    4    9    8    1      7
Vardas463            Pavarde463    8    5    7   10   10      7
Vardas464            Pavarde464    5    4    3    2    1      5
Vardas465            Pavarde465    6    3    2    1    3      4
Vardas466            Pavarde466    7    5    3    9    3      6
Vardas467            Pavarde467    1    6    3    9    2      9
Vardas468            Pavarde468    4    7    5    8    1      6
Vardas469            Pavarde469    7    6    6   10    7      3
Vardas470            Pavarde470    1    3    5   10    2      4
Vardas471            Pavarde471    2    1    4    1    4      3
Vardas472            Pavarde472    1    2    7   10    5      8
Vardas473            Pavarde473    1    1    7    6    6      8
Vardas474            Pavarde474    6    1    7    1    3      3
Vardas475            Pavarde475    9    3    7    6   10     10
Vardas476            Pavarde476    3    4    2    1    5      6
Vardas477            Pavarde477    3    5    5    6    1      9
Vardas478            Pavarde478    5    6    2    8    2      6
Vardas479            Pavarde479    7    2    4   10    3      4
Vardas480            Pavarde480    5    5    8    9    2      9
Vardas481            Pavarde481    9    5    6    7    6      8
Vardas482            Pavarde482    1    5    2    7    7      5
Vardas483            Pavarde483    7    7    8    3    9      5
Vardas484            Pavarde484   10    7    9    1   10      3
Vardas485            Pavarde485    9    7    8    2    1      8
Vardas486            Pavarde486    1   10    4   10    8      2
Vardas487            Pavarde487    8    1    2    7    1      2
Vardas488            Pavarde488    6    2    2    1   10      9
Vardas489            Pavarde489    5   10    8    7    2      7
Vardas490            Pavarde490    1    2    9    3    9      1
Vardas491            Pavarde491   10    2    7    2    4      4
Vardas492            Pavarde492    2    1    9    8    9      2
Vardas493            Pavarde493    6    1    1    7   10      5
Vardas494            Pavarde494    1    1    2    8    5      1
Vardas495            Pavarde495    2    8    5    1    3      4
Vardas496            Pavarde496    9    1    8    5    5      4
Vardas497            Pavarde497    3    3    1    8    6      7
Vardas498            Pavarde498    6    6    3    9    6      9
Vardas499            Pavarde499    2    5    3    2    7      9
Vardas500            Pavarde500    6    2    9    6    4      9
Vardas501            Pavarde501    9    2    3    5    7      9
Vardas502            Pavarde502    7    2    2    3    7     10
Vardas503            Pavarde503    7    7    4    2   10      6
Vardas504            Pavarde504    9    5    4    8   10      6
Vardas505            Pavarde505    9    5    2    3    5     10
Vardas506            Pavarde506    3    6    9    4    4      9
Vardas507            Pavarde507    3    7    2    9    4      1
Vardas508            Pavarde508    1    8   10    6    6      5
Vardas509            Pavarde509    3    8    7    1   10      2
Vardas510            Pavarde510    7    4    6    9    4     10
Vardas511            Pavarde511    2    8    6    7    2      9
Vardas512            Pavarde512    1    1    4    5    3      3
Vardas513            Pavarde513    9    7    4    4    3      4
Vardas514            Pavarde514    9    2    7    1    8      8
Vardas515            Pavarde515    3    8    3    9   10      3
Vardas516            Pavarde516    7    3    6    4    4      7
Vardas517            Pavarde517    4    3    5    4    8      7
Vardas518            Pavarde518    9    3    1    7    1      5
Vardas519            Pavarde519    4    8    4    1    8      6
Vardas520            Pavarde520    3    7    4   10    5      5
Vardas521            Pavarde521    1    8    7    5    1      5
Vardas522            Pavarde522    5    5    8    2    7      9
Vardas523            Pavarde523    3    5    5   10    6      8
Vardas524            Pavarde524    3   10   10    2    7      8
Vardas525            Pavarde525    6    6    1    2    3     10
Vardas526            Pavarde526    9    9    7    2    5      9
Vardas527            Pavarde527    5   10    7    3    5      9
Vardas528            Pavarde528    4    7    6    9    2      8
Vardas529            Pavarde529    4    2    6    7    8      2
Vardas530            Pavarde530    9    7    9   10    9      6
Vardas531            Pavarde531    5    9    8    8    9      5
Vardas532            Pavarde532    2    6    8    5    4      5
Vardas533            Pavarde533    9   10    4    4    5     10
Vardas534            Pavarde534    7    7   10    3    7      2
Vardas535            Pavarde535    8    3    2    8    1      2
Vardas536            Pavarde536    6    8   10    3    5      4
Vardas537            Pavarde537    7    4    9    4    1     10
Vardas538            Pavarde538    4    1    2    1    4      4
Vardas539            Pavarde539    5    7    4    8    4      4
Vardas540            Pavarde540   10    4    1    1    8      3
Vardas541            Pavarde541    4    5    5    2    6      4
Vardas542            Pavarde542    3    1    4    9    7      7
Vardas543            Pavarde543    4    2    6    7    4      4
Vardas544            Pavarde544    1    5    7    1    6      6
Vardas545            Pavarde545    2    5   10    2    3      9
Vardas546            Pavarde546    2    3   10    7    5      2
Vardas547            Pavarde547    9    4    7   10   10     10
Vardas548            Pavarde548    3    1    3    3    5      1
Vardas549            Pavarde549    1    8    6    9    3      6
Vardas550            Pavarde550   10    2    2    1    9      7
Vardas551            Pavarde551    4    9    7    9    2      2
Vardas552            Pavarde552    8    3    1    8    3      9
Vardas553            Pavarde553    8    6    4    6   10      7
Vardas554            Pavarde554    9    6    4    8    6      4
Vardas555            Pavarde555    7   10    7    1    4      8
Vardas556            Pavarde556    2    6    4    1    6      8
Vardas557            Pavarde557    1    1    7    4    6      9
