Vardas                  Pavarde    Galutinis (Vid.)    Galutinis (Med.)
Vardas976            Pavarde976                3.16                3.40
Vardas1                Pavarde1                3.20                3.60
Vardas951            Pavarde951                3.20                3.20
Vardas768            Pavarde768                3.20                2.80
Vardas595            Pavarde595                3.20                3.20
Vardas251            Pavarde251                3.20                3.60
Vardas327            Pavarde327                3.20                3.20
Vardas885            Pavarde885                3.20                2.80
Vardas402            Pavarde402                3.20                3.20
Vardas974            Pavarde974                3.20                2.80
Vardas112            Pavarde112                3.24                3.80
Vardas708            Pavarde708                3.24                3.80
Vardas474            Pavarde474                3.24                3.00
Vardas259            Pavarde259                3.24                3.80
Vardas300            Pavarde300                3.24                3.80
Vardas778            Pavarde778                3.24                3.40
Vardas712            Pavarde712                3.28                2.80
Vardas701            Pavarde701                3.28                3.20
Vardas783            Pavarde783                3.28                2.80
Vardas865            Pavarde865                3.32                3.40
Vardas984            Pavarde984                3.32                3.40
Vardas385            Pavarde385                3.32                3.40
Vardas799            Pavarde799                3.36                3.20
Vardas790            Pavarde790                3.36                3.20
Vardas529            Pavarde529                3.36                3.60
Vardas546            Pavarde546                3.36                3.20
Vardas171            Pavarde171                3.36                3.60
Vardas103            Pavarde103                3.36                3.20
Vardas538            Pavarde538                3.36                3.20
Vardas694            Pavarde694                3.36                4.00
Vardas346            Pavarde346                3.36                3.20
Vardas379            Pavarde379                3.40                3.00
Vardas827            Pavarde827                3.40                3.80
Vardas698            Pavarde698                3.40                3.80
Vardas164            Pavarde164                3.40                3.40
Vardas199            Pavarde199                3.40                3.00
Vardas716            Pavarde716                3.40                3.40
Vardas240            Pavarde240                3.44                2.80
Vardas925            Pavarde925                3.44                4.40
Vardas149            Pavarde149                3.44                4.00
Vardas371            Pavarde371                3.48                3.80
Vardas150            Pavarde150                3.48                3.00
Vardas370            Pavarde370                3.48                3.40
Vardas985            Pavarde985                3.52                3.60
Vardas276            Pavarde276                3.52                3.60
Vardas448            Pavarde448                3.52                3.20
Vardas100            Pavarde100                3.52                3.20
Vardas891            Pavarde891                3.52                3.60
Vardas509            Pavarde509                3.52                4.00
Vardas436            Pavarde436                3.52                3.20
Vardas938            Pavarde938                3.52                3.20
Vardas492            Pavarde492                3.52                4.40
Vardas842            Pavarde842                3.56                3.40
Vardas15              Pavarde15                3.56                3.40
Vardas407            Pavarde407                3.56                3.00
Vardas426            Pavarde426                3.56                3.40
Vardas178            Pavarde178                3.56                3.80
Vardas170            Pavarde170                3.56                3.00
Vardas440            Pavarde440                3.56                3.00
Vardas677            Pavarde677                3.56                3.40
Vardas76              Pavarde76                3.56                3.00
Vardas791            Pavarde791                3.56                4.20
Vardas26              Pavarde26                3.60                3.60
Vardas325            Pavarde325                3.60                3.60
Vardas988            Pavarde988                3.60                3.20
Vardas313            Pavarde313                3.60                4.00
Vardas465            Pavarde465                3.60                3.60
Vardas924            Pavarde924                3.60                3.60
Vardas944            Pavarde944                3.60                3.60
Vardas266            Pavarde266                3.64                4.60
Vardas918            Pavarde918                3.64                3.40
Vardas998            Pavarde998                3.68                4.00
Vardas628            Pavarde628                3.68                3.60
Vardas785            Pavarde785                3.68                4.40
Vardas551            Pavarde551                3.68                4.00
Vardas920            Pavarde920                3.68                4.00
Vardas735            Pavarde735                3.68                3.60
Vardas540            Pavarde540                3.72                3.40
Vardas787            Pavarde787                3.72                4.20
Vardas613            Pavarde613                3.72                3.40
Vardas302            Pavarde302                3.72                3.40
Vardas684            Pavarde684                3.72                3.40
Vardas823            Pavarde823                3.80                3.40
Vardas560            Pavarde560                3.80                4.60
Vardas597            Pavarde597                3.80                3.40
Vardas237            Pavarde237                3.80                4.20
Vardas429            Pavarde429                3.80                3.00
Vardas319            Pavarde319                3.80                4.20
Vardas752            Pavarde752                3.84                3.60
Vardas486            Pavarde486                3.84                4.40
Vardas347            Pavarde347                3.84                4.80
Vardas843            Pavarde843                3.84                3.20
Vardas279            Pavarde279                3.84                3.60
Vardas152            Pavarde152                3.84                4.00
Vardas936            Pavarde936                3.84                4.40
Vardas352            Pavarde352                3.84                4.80
Vardas46              Pavarde46                3.88                3.40
Vardas892            Pavarde892                3.88                4.20
Vardas181            Pavarde181                3.88                3.80
Vardas151            Pavarde151                3.88                3.80
Vardas905            Pavarde905                3.88                4.20
Vardas840            Pavarde840                3.88                3.80
Vardas273            Pavarde273                3.88                3.80
Vardas888            Pavarde888                3.88                3.80
Vardas996            Pavarde996                3.88                4.20
Vardas907            Pavarde907                3.88                4.20
Vardas780            Pavarde780                3.88                3.80
Vardas94              Pavarde94                3.88                3.80
Vardas98              Pavarde98                3.88                3.40
Vardas643            Pavarde643                3.92                4.40
Vardas534            Pavarde534                3.92                4.00
Vardas383            Pavarde383                3.92                3.60
Vardas678            Pavarde678                3.92                3.60
Vardas77              Pavarde77                3.92                4.00
Vardas92              Pavarde92                3.92                4.40
Vardas409            Pavarde409                3.92                3.20
Vardas495            Pavarde495                3.92                3.60
Vardas661            Pavarde661                3.92                3.60
Vardas36              Pavarde36                3.92                4.40
Vardas221            Pavarde221                3.92                4.40
Vardas10              Pavarde10                3.96                4.60
Vardas662            Pavarde662                3.96                3.40
Vardas654            Pavarde654                3.96                3.80
Vardas620            Pavarde620                3.96                3.80
Vardas573            Pavarde573                3.96                3.80
Vardas948            Pavarde948                3.96                3.80
Vardas975            Pavarde975                3.96                3.40
Vardas460            Pavarde460                3.96                3.40
Vardas69              Pavarde69                3.96                3.80
Vardas212            Pavarde212                3.96                4.60
Vardas834            Pavarde834                4.00                4.00
Vardas256            Pavarde256                4.00                4.80
Vardas118            Pavarde118                4.00                4.40
Vardas771            Pavarde771                4.00                4.40
Vardas558            Pavarde558                4.00                4.00
Vardas454            Pavarde454                4.00                4.00
Vardas958            Pavarde958                4.00                3.60
Vardas598            Pavarde598                4.04                3.80
Vardas812            Pavarde812                4.04                3.40
Vardas91              Pavarde91                4.04                4.20
Vardas626            Pavarde626                4.04                4.20
Vardas175            Pavarde175                4.04                3.80
Vardas886            Pavarde886                4.08                3.60
Vardas45              Pavarde45                4.08                4.00
Vardas952            Pavarde952                4.08                4.00
Vardas470            Pavarde470                4.08                3.60
Vardas49              Pavarde49                4.08                3.60
Vardas761            Pavarde761                4.12                4.20
Vardas825            Pavarde825                4.12                4.20
Vardas541            Pavarde541                4.16                4.40
Vardas883            Pavarde883                4.16                3.60
Vardas873            Pavarde873                4.16                4.00
Vardas962            Pavarde962                4.16                4.40
Vardas421            Pavarde421                4.16                4.00
Vardas372            Pavarde372                4.16                4.00
Vardas6                Pavarde6                4.20                3.80
Vardas236            Pavarde236                4.20                4.20
Vardas245            Pavarde245                4.20                3.80
Vardas889            Pavarde889                4.20                4.20
Vardas464            Pavarde464                4.20                4.20
Vardas657            Pavarde657                4.20                4.20
Vardas589            Pavarde589                4.20                3.80
Vardas543            Pavarde543                4.24                4.00
Vardas947            Pavarde947                4.24                3.60
Vardas104            Pavarde104                4.24                4.00
Vardas762            Pavarde762                4.24                4.40
Vardas893            Pavarde893                4.24                4.00
Vardas972            Pavarde972                4.24                4.80
Vardas607            Pavarde607                4.24                4.40
Vardas705            Pavarde705                4.28                4.60
Vardas793            Pavarde793                4.28                4.60
Vardas937            Pavarde937                4.28                4.60
Vardas653            Pavarde653                4.28                5.00
Vardas348            Pavarde348                4.28                3.80
Vardas777            Pavarde777                4.28                4.60
Vardas398            Pavarde398                4.28                5.00
Vardas297            Pavarde297                4.28                3.80
Vardas822            Pavarde822                4.32                4.40
Vardas122            Pavarde122                4.32                4.40
Vardas903            Pavarde903                4.32                4.00
Vardas299            Pavarde299                4.32                4.40
Vardas912            Pavarde912                4.32                3.60
Vardas977            Pavarde977                4.36                4.60
Vardas34              Pavarde34                4.36                4.20
Vardas695            Pavarde695                4.36                4.20
Vardas665            Pavarde665                4.36                4.60
Vardas249            Pavarde249                4.36                3.80
Vardas281            Pavarde281                4.36                4.60
Vardas631            Pavarde631                4.36                4.60
Vardas624            Pavarde624                4.36                3.80
Vardas879            Pavarde879                4.36                4.20
Vardas257            Pavarde257                4.40                4.40
Vardas337            Pavarde337                4.40                4.00
Vardas997            Pavarde997                4.40                3.60
Vardas618            Pavarde618                4.40                4.80
Vardas954            Pavarde954                4.40                4.40
Vardas214            Pavarde214                4.40                4.40
Vardas491            Pavarde491                4.40                4.00
Vardas663            Pavarde663                4.40                4.00
Vardas611            Pavarde611                4.40                4.40
Vardas854            Pavarde854                4.44                5.40
Vardas188            Pavarde188                4.44                5.00
Vardas515            Pavarde515                4.44                5.00
Vardas588            Pavarde588                4.44                3.40
Vardas137            Pavarde137                4.48                4.00
Vardas479            Pavarde479                4.48                4.00
Vardas217            Pavarde217                4.48                3.60
Vardas781            Pavarde781                4.48                4.80
Vardas749            Pavarde749                4.48                4.40
Vardas640            Pavarde640                4.52                5.00
Vardas292            Pavarde292                4.52                4.60
Vardas138            Pavarde138                4.52                4.20
Vardas965            Pavarde965                4.52                5.40
Vardas365            Pavarde365                4.52                4.20
Vardas339            Pavarde339                4.52                4.60
Vardas570            Pavarde570                4.52                4.60
Vardas741            Pavarde741                4.52                5.00
Vardas728            Pavarde728                4.56                4.40
Vardas513            Pavarde513                4.56                4.00
Vardas956            Pavarde956                4.56                4.80
Vardas908            Pavarde908                4.56                4.80
Vardas876            Pavarde876                4.56                4.80
Vardas109            Pavarde109                4.56                4.40
Vardas194            Pavarde194                4.60                5.00
Vardas584            Pavarde584                4.60                4.60
Vardas833            Pavarde833                4.60                4.60
Vardas23              Pavarde23                4.60                4.60
Vardas165            Pavarde165                4.60                5.00
Vardas85              Pavarde85                4.60                4.20
Vardas366            Pavarde366                4.60                5.00
Vardas62              Pavarde62                4.60                5.40
Vardas673            Pavarde673                4.60                5.00
Vardas326            Pavarde326                4.60                4.60
Vardas322            Pavarde322                4.64                4.80
Vardas338            Pavarde338                4.64                4.80
Vardas427            Pavarde427                4.64                5.60
Vardas425            Pavarde425                4.64                4.80
Vardas539            Pavarde539                4.64                4.40
Vardas928            Pavarde928                4.64                4.80
Vardas623            Pavarde623                4.64                4.40
Vardas872            Pavarde872                4.64                4.40
Vardas232            Pavarde232                4.64                4.40
Vardas496            Pavarde496                4.64                4.40
Vardas784            Pavarde784                4.64                4.80
Vardas469            Pavarde469                4.68                4.60
Vardas884            Pavarde884                4.68                4.60
Vardas192            Pavarde192                4.68                4.60
Vardas646            Pavarde646                4.68                5.00
Vardas210            Pavarde210                4.68                5.00
Vardas384            Pavarde384                4.68                4.60
Vardas518            Pavarde518                4.68                4.20
Vardas990            Pavarde990                4.68                4.60
Vardas739            Pavarde739                4.72                4.80
Vardas719            Pavarde719                4.72                4.80
Vardas902            Pavarde902                4.72                4.40
Vardas220            Pavarde220                4.72                4.80
Vardas29              Pavarde29                4.76                4.60
Vardas125            Pavarde125                4.76                4.60
Vardas482            Pavarde482                4.76                5.00
Vardas860            Pavarde860                4.76                3.80
Vardas484            Pavarde484                4.76                5.40
Vardas369            Pavarde369                4.76                4.60
Vardas521            Pavarde521                4.76                5.00
Vardas943            Pavarde943                4.80                5.60
Vardas921            Pavarde921                4.80                4.40
Vardas817            Pavarde817                4.80                4.40
Vardas415            Pavarde415                4.80                4.40
Vardas225            Pavarde225                4.80                5.20
Vardas248            Pavarde248                4.80                5.20
Vardas476            Pavarde476                4.80                4.80
Vardas345            Pavarde345                4.84                3.80
Vardas71              Pavarde71                4.84                5.00
Vardas676            Pavarde676                4.84                4.20
Vardas162            Pavarde162                4.84                5.40
Vardas738            Pavarde738                4.84                3.80
Vardas394            Pavarde394                4.84                4.60
Vardas863            Pavarde863                4.88                5.20
Vardas311            Pavarde311                4.88                4.80
Vardas121            Pavarde121                4.88                5.20
Vardas80              Pavarde80                4.92                5.00
Vardas861            Pavarde861                4.96                5.20
Vardas133            Pavarde133                4.96                4.40
Vardas441            Pavarde441                4.96                5.60
Vardas536            Pavarde536                4.96                4.80
Vardas730            Pavarde730                4.96                5.20
Vardas70              Pavarde70                4.96                4.80
Vardas74              Pavarde74                4.96                5.20
