Vardas                  Pavarde    Galutinis (Vid.)    Galutinis (Med.)
Vardas915            Pavarde915                5.96                6.60
Vardas664            Pavarde664                5.96                6.20
Vardas362            Pavarde362                6.00                5.20
Vardas357            Pavarde357                6.00                5.60
Vardas363            Pavarde363                6.00                6.40
Vardas131            Pavarde131                6.00                6.40
Vardas264            Pavarde264                6.00                6.00
Vardas503            Pavarde503                6.00                6.40
Vardas271            Pavarde271                6.00                6.00
Vardas56              Pavarde56                6.00                5.60
Vardas124            Pavarde124                6.04                5.40
Vardas48              Pavarde48                6.04                5.40
Vardas330            Pavarde330                6.04                5.80
Vardas320            Pavarde320                6.08                5.60
Vardas961            Pavarde961                6.08                6.00
Vardas845            Pavarde845                6.08                6.40
Vardas647            Pavarde647                6.08                6.00
Vardas516            Pavarde516                6.12                5.80
Vardas550            Pavarde550                6.12                5.00
Vardas453            Pavarde453                6.12                6.20
Vardas17              Pavarde17                6.12                6.60
Vardas729            Pavarde729                6.12                5.40
Vardas275            Pavarde275                6.12                6.20
Vardas531            Pavarde531                6.12                6.20
Vardas296            Pavarde296                6.12                6.20
Vardas542            Pavarde542                6.12                5.80
Vardas517            Pavarde517                6.12                5.80
Vardas953            Pavarde953                6.16                6.40
Vardas683            Pavarde683                6.16                6.80
Vardas144            Pavarde144                6.16                6.00
Vardas184            Pavarde184                6.16                6.40
Vardas794            Pavarde794                6.16                6.40
Vardas919            Pavarde919                6.16                6.40
Vardas982            Pavarde982                6.16                6.40
Vardas389            Pavarde389                6.20                5.80
Vardas368            Pavarde368                6.20                7.00
Vardas129            Pavarde129                6.20                6.60
Vardas636            Pavarde636                6.20                6.20
Vardas849            Pavarde849                6.24                5.60
Vardas349            Pavarde349                6.24                6.00
Vardas866            Pavarde866                6.24                6.40
Vardas376            Pavarde376                6.24                6.40
Vardas772            Pavarde772                6.24                6.40
Vardas821            Pavarde821                6.24                6.00
Vardas65              Pavarde65                6.24                6.00
Vardas20              Pavarde20                6.28                6.20
Vardas755            Pavarde755                6.28                6.20
Vardas679            Pavarde679                6.28                5.80
Vardas304            Pavarde304                6.28                7.00
Vardas955            Pavarde955                6.28                5.40
Vardas285            Pavarde285                6.32                6.00
Vardas1000          Pavarde1000                6.32                6.00
Vardas22              Pavarde22                6.32                6.40
Vardas157            Pavarde157                6.32                6.40
Vardas894            Pavarde894                6.32                6.40
Vardas388            Pavarde388                6.32                6.40
Vardas994            Pavarde994                6.32                6.00
Vardas556            Pavarde556                6.32                6.40
Vardas154            Pavarde154                6.36                6.60
Vardas323            Pavarde323                6.36                6.20
Vardas414            Pavarde414                6.36                6.60
Vardas867            Pavarde867                6.36                6.60
Vardas809            Pavarde809                6.36                6.60
Vardas216            Pavarde216                6.36                5.80
Vardas140            Pavarde140                6.36                6.20
Vardas846            Pavarde846                6.40                5.60
Vardas89              Pavarde89                6.40                5.60
Vardas203            Pavarde203                6.40                6.40
Vardas859            Pavarde859                6.40                6.40
Vardas351            Pavarde351                6.40                6.00
Vardas258            Pavarde258                6.40                6.40
Vardas445            Pavarde445                6.44                6.20
Vardas973            Pavarde973                6.44                6.60
Vardas788            Pavarde788                6.44                5.40
Vardas396            Pavarde396                6.48                6.80
Vardas895            Pavarde895                6.48                6.80
Vardas432            Pavarde432                6.48                6.80
Vardas307            Pavarde307                6.48                6.40
Vardas473            Pavarde473                6.48                7.20
Vardas182            Pavarde182                6.48                7.20
Vardas504            Pavarde504                6.48                6.80
Vardas605            Pavarde605                6.48                6.80
Vardas205            Pavarde205                6.52                6.20
Vardas563            Pavarde563                6.52                6.20
Vardas591            Pavarde591                6.52                7.00
Vardas386            Pavarde386                6.52                5.80
Vardas462            Pavarde462                6.52                7.00
Vardas836            Pavarde836                6.52                6.60
Vardas838            Pavarde838                6.52                6.20
Vardas269            Pavarde269                6.52                6.60
Vardas450            Pavarde450                6.52                7.00
Vardas418            Pavarde418                6.56                6.00
Vardas753            Pavarde753                6.56                6.40
Vardas95              Pavarde95                6.56                6.40
Vardas244            Pavarde244                6.56                6.80
Vardas629            Pavarde629                6.56                6.80
Vardas669            Pavarde669                6.60                7.00
Vardas375            Pavarde375                6.64                6.00
Vardas108            Pavarde108                6.64                6.40
Vardas202            Pavarde202                6.64                6.00
Vardas660            Pavarde660                6.68                7.40
Vardas685            Pavarde685                6.68                6.20
Vardas200            Pavarde200                6.68                6.60
Vardas413            Pavarde413                6.68                6.20
Vardas868            Pavarde868                6.68                6.60
Vardas397            Pavarde397                6.72                6.40
Vardas355            Pavarde355                6.72                6.40
Vardas392            Pavarde392                6.72                6.00
Vardas615            Pavarde615                6.76                7.40
Vardas367            Pavarde367                6.76                6.60
Vardas489            Pavarde489                6.76                7.00
Vardas284            Pavarde284                6.76                6.60
Vardas457            Pavarde457                6.76                7.00
Vardas804            Pavarde804                6.76                7.00
Vardas603            Pavarde603                6.76                6.60
Vardas434            Pavarde434                6.76                6.60
Vardas430            Pavarde430                6.76                7.00
Vardas472            Pavarde472                6.80                6.80
Vardas51              Pavarde51                6.80                6.40
Vardas246            Pavarde246                6.80                6.80
Vardas966            Pavarde966                6.80                6.40
Vardas204            Pavarde204                6.80                7.20
Vardas786            Pavarde786                6.80                7.20
Vardas163            Pavarde163                6.80                6.80
Vardas914            Pavarde914                6.80                6.40
Vardas438            Pavarde438                6.80                6.80
Vardas881            Pavarde881                6.80                6.80
Vardas828            Pavarde828                6.80                7.20
Vardas364            Pavarde364                6.80                6.40
Vardas190            Pavarde190                6.80                6.00
Vardas350            Pavarde350                6.84                6.60
Vardas614            Pavarde614                6.84                6.20
Vardas933            Pavarde933                6.84                6.60
Vardas697            Pavarde697                6.84                7.00
Vardas86              Pavarde86                6.84                6.60
Vardas382            Pavarde382                6.84                7.40
Vardas568            Pavarde568                6.84                7.40
Vardas19              Pavarde19                6.88                6.80
Vardas700            Pavarde700                6.88                6.80
Vardas197            Pavarde197                6.88                6.80
Vardas416            Pavarde416                6.88                7.60
Vardas499            Pavarde499                6.92                6.60
Vardas115            Pavarde115                6.92                7.00
Vardas593            Pavarde593                6.92                6.60
Vardas553            Pavarde553                6.92                6.60
Vardas848            Pavarde848                6.92                6.60
Vardas557            Pavarde557                6.92                7.00
Vardas185            Pavarde185                6.92                6.60
Vardas699            Pavarde699                6.96                6.80
Vardas127            Pavarde127                6.96                6.80
Vardas648            Pavarde648                6.96                7.20
Vardas243            Pavarde243                6.96                6.40
Vardas447            Pavarde447                6.96                7.20
Vardas52              Pavarde52                6.96                6.40
Vardas231            Pavarde231                6.96                7.20
Vardas565            Pavarde565                6.96                6.40
Vardas514            Pavarde514                6.96                7.60
Vardas485            Pavarde485                6.96                7.60
Vardas253            Pavarde253                7.00                7.00
Vardas986            Pavarde986                7.00                6.20
Vardas459            Pavarde459                7.00                7.00
Vardas999            Pavarde999                7.00                7.40
Vardas477            Pavarde477                7.00                7.40
Vardas102            Pavarde102                7.00                7.00
Vardas201            Pavarde201                7.00                7.40
Vardas356            Pavarde356                7.04                7.20
Vardas262            Pavarde262                7.04                7.20
Vardas298            Pavarde298                7.04                7.20
Vardas435            Pavarde435                7.04                7.20
Vardas736            Pavarde736                7.04                6.80
Vardas528            Pavarde528                7.04                7.20
Vardas627            Pavarde627                7.04                7.60
Vardas732            Pavarde732                7.04                6.80
Vardas488            Pavarde488                7.08                6.20
Vardas706            Pavarde706                7.08                7.00
Vardas11              Pavarde11                7.08                7.00
Vardas625            Pavarde625                7.08                7.40
Vardas900            Pavarde900                7.08                6.60
Vardas467            Pavarde467                7.08                6.60
Vardas96              Pavarde96                7.08                7.00
Vardas226            Pavarde226                7.08                6.60
Vardas331            Pavarde331                7.12                7.20
Vardas145            Pavarde145                7.12                7.60
Vardas530            Pavarde530                7.12                7.20
Vardas523            Pavarde523                7.12                6.80
Vardas820            Pavarde820                7.12                8.40
Vardas555            Pavarde555                7.12                7.60
Vardas218            Pavarde218                7.16                7.00
Vardas980            Pavarde980                7.16                7.40
Vardas714            Pavarde714                7.16                7.40
Vardas215            Pavarde215                7.16                7.40
Vardas328            Pavarde328                7.16                7.40
Vardas737            Pavarde737                7.16                6.60
Vardas433            Pavarde433                7.16                7.00
Vardas79              Pavarde79                7.16                7.40
Vardas545            Pavarde545                7.16                6.60
Vardas650            Pavarde650                7.16                7.00
Vardas187            Pavarde187                7.16                6.60
Vardas667            Pavarde667                7.16                7.00
Vardas40              Pavarde40                7.16                7.00
Vardas681            Pavarde681                7.20                7.20
Vardas309            Pavarde309                7.20                7.20
Vardas412            Pavarde412                7.20                7.60
Vardas608            Pavarde608                7.24                7.80
Vardas4                Pavarde4                7.24                7.00
Vardas824            Pavarde824                7.24                7.40
Vardas83              Pavarde83                7.24                7.40
Vardas552            Pavarde552                7.24                6.60
Vardas75              Pavarde75                7.24                7.40
Vardas668            Pavarde668                7.28                7.20
Vardas690            Pavarde690                7.28                7.20
Vardas228            Pavarde228                7.28                8.00
Vardas580            Pavarde580                7.28                7.60
Vardas847            Pavarde847                7.28                7.20
Vardas904            Pavarde904                7.28                6.80
Vardas645            Pavarde645                7.28                6.80
Vardas373            Pavarde373                7.28                7.60
Vardas686            Pavarde686                7.32                7.40
Vardas743            Pavarde743                7.32                7.40
Vardas120            Pavarde120                7.32                7.40
Vardas437            Pavarde437                7.32                7.40
Vardas458            Pavarde458                7.32                7.40
Vardas333            Pavarde333                7.36                7.60
Vardas689            Pavarde689                7.36                7.20
Vardas524            Pavarde524                7.36                7.60
Vardas234            Pavarde234                7.40                7.40
Vardas39              Pavarde39                7.40                7.80
Vardas511            Pavarde511                7.40                7.80
Vardas670            Pavarde670                7.40                7.40
Vardas35              Pavarde35                7.40                7.40
Vardas742            Pavarde742                7.40                7.40
Vardas463            Pavarde463                7.40                7.40
Vardas43              Pavarde43                7.44                7.20
Vardas481            Pavarde481                7.44                7.20
Vardas964            Pavarde964                7.44                7.60
Vardas574            Pavarde574                7.44                7.60
Vardas596            Pavarde596                7.44                7.20
Vardas731            Pavarde731                7.44                7.20
Vardas525            Pavarde525                7.44                7.20
Vardas431            Pavarde431                7.44                8.40
Vardas764            Pavarde764                7.48                7.40
Vardas501            Pavarde501                7.48                7.40
Vardas506            Pavarde506                7.48                7.00
Vardas720            Pavarde720                7.48                8.20
Vardas73              Pavarde73                7.48                8.20
Vardas238            Pavarde238                7.52                7.60
Vardas321            Pavarde321                7.52                7.60
Vardas117            Pavarde117                7.52                8.00
Vardas161            Pavarde161                7.52                8.00
Vardas561            Pavarde561                7.52                7.60
Vardas172            Pavarde172                7.52                7.60
Vardas455            Pavarde455                7.52                6.80
Vardas734            Pavarde734                7.52                8.00
Vardas25              Pavarde25                7.52                8.00
Vardas126            Pavarde126                7.52                7.60
Vardas500            Pavarde500                7.56                7.80
Vardas60              Pavarde60                7.56                7.40
Vardas887            Pavarde887                7.56                7.40
Vardas522            Pavarde522                7.56                7.40
Vardas769            Pavarde769                7.56                8.60
Vardas252            Pavarde252                7.56                7.40
Vardas559            Pavarde559                7.60                7.20
Vardas291            Pavarde291                7.60                8.40
Vardas340            Pavarde340                7.60                7.20
Vardas703            Pavarde703                7.60                7.20
Vardas374            Pavarde374                7.60                8.00
Vardas57              Pavarde57                7.64                7.80
Vardas158            Pavarde158                7.64                7.40
Vardas740            Pavarde740                7.64                7.40
Vardas649            Pavarde649                7.64                7.40
Vardas13              Pavarde13                7.64                8.20
Vardas222            Pavarde222                7.64                7.80
Vardas378            Pavarde378                7.64                7.80
Vardas42              Pavarde42                7.68                7.60
Vardas727            Pavarde727                7.68                7.60
Vardas789            Pavarde789                7.68                8.00
Vardas634            Pavarde634                7.68                7.60
Vardas674            Pavarde674                7.68                7.20
Vardas922            Pavarde922                7.68                7.20
Vardas207            Pavarde207                7.68                7.60
Vardas502            Pavarde502                7.68                7.20
Vardas959            Pavarde959                7.68                8.00
Vardas480            Pavarde480                7.72                7.40
Vardas423            Pavarde423                7.72                7.40
Vardas274            Pavarde274                7.72                9.00
Vardas38              Pavarde38                7.72                7.80
Vardas617            Pavarde617                7.76                7.60
Vardas940            Pavarde940                7.76                8.40
Vardas301            Pavarde301                7.76                7.20
Vardas711            Pavarde711                7.76                7.60
Vardas224            Pavarde224                7.76                8.00
Vardas818            Pavarde818                7.76                8.40
Vardas31              Pavarde31                7.76                8.00
Vardas869            Pavarde869                7.76                7.20
Vardas877            Pavarde877                7.76                7.60
Vardas173            Pavarde173                7.76                6.80
Vardas168            Pavarde168                7.80                8.20
Vardas498            Pavarde498                7.80                7.80
Vardas527            Pavarde527                7.80                7.40
Vardas332            Pavarde332                7.84                7.20
Vardas176            Pavarde176                7.84                7.20
Vardas353            Pavarde353                7.84                8.00
Vardas105            Pavarde105                7.84                7.20
Vardas590            Pavarde590                7.84                8.40
Vardas960            Pavarde960                7.84                8.40
Vardas37              Pavarde37                7.84                8.00
Vardas837            Pavarde837                7.84                7.60
Vardas400            Pavarde400                7.84                8.40
Vardas113            Pavarde113                7.84                7.60
Vardas360            Pavarde360                7.88                7.80
Vardas260            Pavarde260                7.88                7.80
Vardas280            Pavarde280                7.88                8.20
Vardas342            Pavarde342                7.88                8.20
Vardas875            Pavarde875                7.92                8.40
Vardas722            Pavarde722                7.92                8.00
Vardas644            Pavarde644                7.92                8.40
Vardas44              Pavarde44                7.92                7.60
Vardas28              Pavarde28                7.92                8.00
Vardas856            Pavarde856                7.92                8.80
Vardas709            Pavarde709                7.92                7.60
Vardas505            Pavarde505                7.92                8.00
Vardas897            Pavarde897                7.92                8.00
Vardas713            Pavarde713                7.96                7.40
Vardas635            Pavarde635                7.96                7.80
Vardas526            Pavarde526                7.96                8.20
Vardas773            Pavarde773                8.00                8.40
Vardas381            Pavarde381                8.00                8.40
Vardas587            Pavarde587                8.00                8.00
Vardas916            Pavarde916                8.00                8.00
Vardas442            Pavarde442                8.00                8.40
Vardas930            Pavarde930                8.00                7.60
Vardas537            Pavarde537                8.00                7.60
Vardas680            Pavarde680                8.00                7.60
Vardas88              Pavarde88                8.00                7.60
Vardas829            Pavarde829                8.00                7.60
Vardas929            Pavarde929                8.04                8.20
Vardas641            Pavarde641                8.04                7.40
Vardas632            Pavarde632                8.04                8.20
Vardas594            Pavarde594                8.04                8.20
Vardas805            Pavarde805                8.04                8.20
Vardas16              Pavarde16                8.08                8.00
Vardas272            Pavarde272                8.08                8.00
Vardas261            Pavarde261                8.08                8.00
Vardas758            Pavarde758                8.08                8.00
Vardas354            Pavarde354                8.12                8.20
Vardas898            Pavarde898                8.12                7.80
Vardas134            Pavarde134                8.12                7.80
Vardas343            Pavarde343                8.16                8.40
Vardas72              Pavarde72                8.16                8.00
Vardas926            Pavarde926                8.16                8.40
Vardas174            Pavarde174                8.16                8.40
Vardas582            Pavarde582                8.16                8.80
Vardas66              Pavarde66                8.16                8.00
Vardas290            Pavarde290                8.20                8.20
Vardas803            Pavarde803                8.20                9.00
Vardas68              Pavarde68                8.24                8.40
Vardas910            Pavarde910                8.24                8.40
Vardas358            Pavarde358                8.24                8.40
Vardas169            Pavarde169                8.24                9.20
Vardas78              Pavarde78                8.24                8.00
Vardas562            Pavarde562                8.24                8.40
Vardas756            Pavarde756                8.24                8.40
Vardas82              Pavarde82                8.28                9.00
Vardas177            Pavarde177                8.28                8.20
Vardas945            Pavarde945                8.28                8.20
Vardas111            Pavarde111                8.32                8.40
Vardas639            Pavarde639                8.32                8.00
Vardas609            Pavarde609                8.32                8.40
Vardas278            Pavarde278                8.32                8.80
Vardas241            Pavarde241                8.32                8.00
Vardas870            Pavarde870                8.32                8.40
Vardas27              Pavarde27                8.32                8.40
Vardas404            Pavarde404                8.32                8.40
Vardas979            Pavarde979                8.32                8.80
Vardas250            Pavarde250                8.32                8.00
Vardas830            Pavarde830                8.32                8.00
Vardas282            Pavarde282                8.36                9.00
Vardas289            Pavarde289                8.36                8.20
Vardas909            Pavarde909                8.40                8.00
Vardas166            Pavarde166                8.40                9.20
Vardas510            Pavarde510                8.40                8.40
Vardas775            Pavarde775                8.40                8.00
Vardas733            Pavarde733                8.44                8.60
Vardas619            Pavarde619                8.48                8.00
Vardas312            Pavarde312                8.48                7.60
Vardas599            Pavarde599                8.48                8.40
Vardas832            Pavarde832                8.48                8.80
Vardas671            Pavarde671                8.48                8.40
Vardas156            Pavarde156                8.48                8.00
Vardas913            Pavarde913                8.48                8.00
Vardas779            Pavarde779                8.48                8.80
Vardas754            Pavarde754                8.48                8.40
Vardas745            Pavarde745                8.52                8.60
Vardas978            Pavarde978                8.52                8.20
Vardas314            Pavarde314                8.56                8.40
Vardas310            Pavarde310                8.56                8.40
Vardas766            Pavarde766                8.56                8.80
Vardas223            Pavarde223                8.56                8.40
Vardas770            Pavarde770                8.56                8.80
Vardas890            Pavarde890                8.56                8.80
Vardas533            Pavarde533                8.56                8.00
Vardas656            Pavarde656                8.56                8.40
Vardas991            Pavarde991                8.64                8.80
Vardas128            Pavarde128                8.64                8.40
Vardas114            Pavarde114                8.64                8.40
Vardas806            Pavarde806                8.64                8.00
Vardas99              Pavarde99                8.68                9.40
Vardas419            Pavarde419                8.68                9.00
Vardas717            Pavarde717                8.72                9.20
Vardas456            Pavarde456                8.72                8.40
Vardas899            Pavarde899                8.72                9.20
Vardas566            Pavarde566                8.72                9.20
Vardas957            Pavarde957                8.80                8.80
Vardas183            Pavarde183                8.80                9.20
Vardas475            Pavarde475                8.80                8.80
Vardas932            Pavarde932                8.80                8.80
Vardas983            Pavarde983                8.88                8.80
Vardas882            Pavarde882                8.96                9.60
Vardas405            Pavarde405                8.96                9.60
Vardas294            Pavarde294                8.96                9.20
Vardas765            Pavarde765                8.96                9.20
Vardas410            Pavarde410                8.96                9.60
Vardas142            Pavarde142                9.04                9.20
Vardas797            Pavarde797                9.04                9.60
Vardas862            Pavarde862                9.04                9.60
Vardas726            Pavarde726                9.04                9.60
Vardas622            Pavarde622                9.04                9.20
Vardas146            Pavarde146                9.12                9.60
Vardas235            Pavarde235                9.12                9.20
Vardas547            Pavarde547                9.20                9.60
Vardas287            Pavarde287                9.20               10.00
Vardas621            Pavarde621                9.20               10.00
Vardas802            Pavarde802                9.28                9.60
