Vardas         Pavarde         ND1  ND2  ND3  ND4  ND5     Egz.
Vardas78       Pavarde78       4    7    2    5    4          5
Vardas79       Pavarde79       5    4    9    7    4          3
Vardas80       Pavarde80       3    2    1    6    4          2
Vardas81       Pavarde81       2    4    7    3    1          2
Vardas82       Pavarde82       7    1    10   4    5          3
Vardas83       Pavarde83       6    3    3    10   3          1
Vardas84       Pavarde84       3    2    10   4    5          7
Vardas85       Pavarde85       8    10   5    4    7          5
Vardas86       Pavarde86       4    6    6    2    4          1
Vardas87       Pavarde87       10   10   8    4    3          4
Vardas88       Pavarde88       8    5    6    6    5          7
Vardas89       Pavarde89       9    3    7    8    8         10
Vardas90       Pavarde90       8    9    5    5    4          1
Vardas91       Pavarde91       8    2    8    3    9          3
Vardas92       Pavarde92       3    2    7    10   5          9
Vardas93       Pavarde93       8    2    1    6    3          6
Vardas94       Pavarde94       3    10   7    10   10         1
Vardas95       Pavarde95       7    10   6    3    5          2
Vardas96       Pavarde96       3    4    8    9    2          2
Vardas97       Pavarde97       9    8    5    7    6          5
Vardas98       Pavarde98       5    4    1    6    7          8
Vardas99       Pavarde99       10   5    9    8    4         10
Vardas100      Pavarde100      7    8    6    10   8          2
Vardas101      Pavarde101      2    6    8    10   4          9
Vardas102      Pavarde102      10   7    8    2    8          5
Vardas103      Pavarde103      2    7    4    8    8          1
Vardas104      Pavarde104      6    8    3    6    6          4
Vardas105      Pavarde105      7    7    10   9    2          7
Vardas106      Pavarde106      9    10   7    2    1          5
Vardas107      Pavarde107      10   8    7    7    3          2
Vardas108      Pavarde108      5    4    6    5    8          9
Vardas109      Pavarde109      4    8    1    3    6          2
Vardas110      Pavarde110      3    2    7    8    8          9
Vardas111      Pavarde111      4    8    3    4    8          4
Vardas112      Pavarde112      4    9    8    7    10         3
Vardas113      Pavarde113      8    6    1    7    4          1
Vardas114      Pavarde114      3    1    2    6    7         10
Vardas115      Pavarde115      9    5    6    7    9         10
Vardas116      Pavarde116      6    8    10   4    7         10
Vardas117      Pavarde117      1    1    1    6    10         5
Vardas118      Pavarde118      9    1    1    5    6          4
Vardas119      Pavarde119      2    6    4    3    4          5
Vardas120      Pavarde120      6    8    9    2    7          7
Vardas121      Pavarde121      4    9    2    5    4          4
Vardas122      Pavarde122      5    6    5    9    2          6
Vardas123      Pavarde123      5    1    7    1    7          4
Vardas124      Pavarde124      8    7    2    6    4          6
Vardas125      Pavarde125      10   7    7    1    2          5
Vardas126      Pavarde126      3    10   7    1    5          4
Vardas127      Pavarde127      3    8    10   2    10         5
Vardas128      Pavarde128      4    6    6    6    1          3
Vardas129      Pavarde129      4    6    8    2    9          6
Vardas130      Pavarde130      8    7    2    4    8          8
Vardas131      Pavarde131      4    1    9    8    3          5
Vardas132      Pavarde132      2    5    6    6    7          2
Vardas133      Pavarde133      5    1    8    10   3          7
Vardas134      Pavarde134      9    5    3    2    5          7
Vardas135      Pavarde135      8    9    8    3    2          4
Vardas136      Pavarde136      4    9    2    8    6          9
Vardas137      Pavarde137      8    7    6    6    8          3
Vardas138      Pavarde138      8    9    2    4    3          8
Vardas139      Pavarde139      8    1    2    3    2          5
Vardas140      Pavarde140      6    8    7    4    8          6
Vardas141      Pavarde141      3    6    8    4    6          3
Vardas142      Pavarde142      9    2    2    8    3         10
Vardas143      Pavarde143      4    7    5    6    5          5
Vardas144      Pavarde144      3    6    5    4    7          7
Vardas145      Pavarde145      7    4    7    7    2         10
Vardas146      Pavarde146      1    2    6    2    2          3
Vardas147      Pavarde147      7    9    10   7    5          2
Vardas148      Pavarde148      1    9    9    5    5          3
Vardas149      Pavarde149      1    5    8    10   3          1
Vardas150      Pavarde150      8    10   5    6    9          5
Vardas151      Pavarde151      9    7    6    10   5          5
Vardas152      Pavarde152      3    6    9    6    9          1
Vardas153      Pavarde153      10   9    7    8    4         10
Vardas154      Pavarde154      4    5    4    5    5          6
Vardas155      Pavarde155      8    6    8    10   8          2
Vardas156      Pavarde156      7    2    1    2    7          6
Vardas157      Pavarde157      2    1    6    3    4         10
Vardas158      Pavarde158      9    5    4    1    6          1
Vardas159      Pavarde159      10   5    10   2    2          7
Vardas160      Pavarde160      9    4    2    5    9          3
Vardas161      Pavarde161      7    10   3    3    10         1
Vardas162      Pavarde162      1    2    2    10   9          6
Vardas163      Pavarde163      7    2    3    7    1          2
Vardas164      Pavarde164      10   9    8    7    3          8
Vardas165      Pavarde165      10   6    5    4    8          5
Vardas166      Pavarde166      6    5    2    1    10         7
Vardas167      Pavarde167      10   10   1    2    9          1
Vardas168      Pavarde168      3    9    10   8    7          9
Vardas169      Pavarde169      1    9    8    8    4          4
Vardas170      Pavarde170      6    3    3    2    2          8
Vardas171      Pavarde171      9    1    6    2    1          6
Vardas172      Pavarde172      8    8    10   6    9          6
Vardas173      Pavarde173      5    7    5    8    6          1
Vardas174      Pavarde174      4    1    6    7    3          4
Vardas175      Pavarde175      6    7    7    3    2          4
Vardas176      Pavarde176      10   3    3    3    3          4
Vardas177      Pavarde177      1    4    10   8    7         10
Vardas178      Pavarde178      10   10   7    8    5         10
Vardas179      Pavarde179      3    10   5    9    9          7
Vardas180      Pavarde180      3    2    2    10   3          2
Vardas181      Pavarde181      8    6    3    9    10         9
Vardas182      Pavarde182      2    9    4    4    5          4
Vardas183      Pavarde183      9    7    1    4    8          8
Vardas184      Pavarde184      10   1    1    6    6         10
Vardas185      Pavarde185      2    1    9    1    1          8
Vardas186      Pavarde186      3    1    4    3    10         5
Vardas187      Pavarde187      5    8    5    10   10         3
Vardas188      Pavarde188      5    1    6    6    6          3
Vardas189      Pavarde189      7    8    10   5    7          4
Vardas190      Pavarde190      5    2    5    4    8          5
Vardas191      Pavarde191      9    1    10   6    5          2
Vardas192      Pavarde192      10   10   4    10   7          9
Vardas193      Pavarde193      10   8    8    3    5          3
Vardas194      Pavarde194      8    9    2    2    8          8
Vardas195      Pavarde195      7    3    1    1    5          1
Vardas196      Pavarde196      4    3    10   8    2          8
Vardas197      Pavarde197      10   3    3    2    5          8
Vardas198      Pavarde198      9    3    3    5    3          5
Vardas199      Pavarde199      6    2    5    2    5          7
Vardas200      Pavarde200      3    2    4    10   3          8
Vardas201      Pavarde201      3    3    5    9    7          2
Vardas202      Pavarde202      3    10   6    8    8          5
Vardas203      Pavarde203      8    1    5    5    1          7
Vardas204      Pavarde204      9    1    9    10   6          4
Vardas205      Pavarde205      10   6    1    1    6          8
Vardas206      Pavarde206      4    7    3    3    8          7
Vardas207      Pavarde207      5    8    9    6    5          2
Vardas208      Pavarde208      10   2    4    10   4          7
Vardas209      Pavarde209      4    1    7    3    4          9
Vardas210      Pavarde210      4    1    3    2    7          1
Vardas211      Pavarde211      7    3    3    3    9          1
Vardas212      Pavarde212      6    7    10   7    10         2
Vardas213      Pavarde213      1    5    1    5    6          4
Vardas214      Pavarde214      7    5    6    4    8          9
Vardas215      Pavarde215      10   8    5    9    10        10
Vardas216      Pavarde216      3    3    6    8    6          7
Vardas217      Pavarde217      6    8    6    3    6          3
Vardas218      Pavarde218      6    2    8    2    5          1
Vardas219      Pavarde219      2    10   8    2    5          3
Vardas220      Pavarde220      4    1    6    4    4          6
Vardas221      Pavarde221      1    1    10   1    7          4
Vardas222      Pavarde222      5    9    6    8    1          9
Vardas223      Pavarde223      8    5    3    6    3          8
Vardas224      Pavarde224      1    8    8    3    6          9
Vardas225      Pavarde225      8    7    1    1    7          3
Vardas226      Pavarde226      7    10   8    4    5          3
Vardas227      Pavarde227      10   4    9    6    7          6
Vardas228      Pavarde228      3    5    4    8    9          5
Vardas229      Pavarde229      7    4    6    7    2          7
Vardas230      Pavarde230      6    4    2    5    4          7
Vardas231      Pavarde231      8    7    5    5    5          9
Vardas232      Pavarde232      6    3    9    1    9          8
Vardas233      Pavarde233      3    4    10   1    8          1
Vardas234      Pavarde234      2    1    8    3    1          6
Vardas235      Pavarde235      1    5    2    8    7          8
Vardas236      Pavarde236      6    4    6    3    5         10
Vardas237      Pavarde237      5    7    2    5    5          8
Vardas238      Pavarde238      10   8    9    1    9          5
Vardas239      Pavarde239      8    3    9    5    10         8
Vardas240      Pavarde240      3    1    3    1    9          9
Vardas241      Pavarde241      9    6    8    6    10         1
Vardas242      Pavarde242      8    9    9    3    10         5
Vardas243      Pavarde243      3    10   6    6    10        10
Vardas244      Pavarde244      5    4    9    5    3          3
Vardas245      Pavarde245      3    2    10   2    6          5
Vardas246      Pavarde246      5    9    6    8    8          6
Vardas247      Pavarde247      1    4    4    8    2          6
Vardas248      Pavarde248      6    7    1    2    7          2
Vardas249      Pavarde249      6    7    10   10   10         6
Vardas250      Pavarde250      1    10   6    2    10         8
Vardas251      Pavarde251      9    8    3    6    9         10
Vardas252      Pavarde252      4    7    2    1    9          5
Vardas253      Pavarde253      8    1    7    5    1         10
Vardas254      Pavarde254      7    6    7    2    7          1
Vardas255      Pavarde255      7    7    9    6    3          2
Vardas256      Pavarde256      2    1    9    3    2          2
Vardas257      Pavarde257      4    2    8    5    5          6
Vardas258      Pavarde258      3    10   3    3    10         6
Vardas259      Pavarde259      1    1    8    8    7          2
Vardas260      Pavarde260      9    7    8    7    9         10
Vardas261      Pavarde261      4    9    5    6    8          2
Vardas262      Pavarde262      2    1    5    9    2         10
Vardas263      Pavarde263      6    3    2    9    6          7
Vardas264      Pavarde264      5    4    6    1    10        10
Vardas265      Pavarde265      7    3    6    10   3          8
Vardas266      Pavarde266      8    2    10   10   3         10
Vardas267      Pavarde267      2    7    10   9    6          2
Vardas268      Pavarde268      8    5    4    4    4          6
Vardas269      Pavarde269      6    5    5    10   9          2
Vardas270      Pavarde270      2    8    7    2    9          9
Vardas271      Pavarde271      7    3    7    3    9         10
Vardas272      Pavarde272      7    5    2    7    10        10
Vardas273      Pavarde273      1    1    3    7    7          3
Vardas274      Pavarde274      4    6    8    10   6          1
Vardas275      Pavarde275      2    9    1    9    5          2
Vardas276      Pavarde276      3    9    1    1    9          9
Vardas277      Pavarde277      8    2    2    3    8         10
Vardas278      Pavarde278      5    5    1    9    10         6
Vardas279      Pavarde279      5    9    3    1    7          2
Vardas280      Pavarde280      5    1    1    3    8          5
Vardas281      Pavarde281      8    6    4    8    3          7
Vardas282      Pavarde282      6    7    3    1    4          2
Vardas283      Pavarde283      2    1    4    2    3          2
Vardas284      Pavarde284      6    1    3    2    10         9
Vardas285      Pavarde285      8    2    7    4    8          4
Vardas286      Pavarde286      3    2    5    9    9          7
Vardas287      Pavarde287      1    6    2    1    4          8
Vardas288      Pavarde288      6    4    2    7    6          5
Vardas289      Pavarde289      10   7    9    4    4          5
Vardas290      Pavarde290      9    8    8    2    2          3
Vardas291      Pavarde291      3    5    1    8    4         10
Vardas292      Pavarde292      6    2    9    1    5          3
Vardas293      Pavarde293      10   7    7    3    9          1
Vardas294      Pavarde294      3    4    4    4    8          1
Vardas295      Pavarde295      6    10   2    6    10         7
Vardas296      Pavarde296      10   3    9    2    4          9
Vardas297      Pavarde297      3    2    6    9    3          5
Vardas298      Pavarde298      9    1    10   5    7          3
Vardas299      Pavarde299      6    2    5    5    3         10
Vardas300      Pavarde300      1    2    3    1    6          7
Vardas301      Pavarde301      7    6    10   6    5          6
Vardas302      Pavarde302      10   7    6    2    8          8
Vardas303      Pavarde303      2    2    2    9    2          7
Vardas304      Pavarde304      1    9    5    5    7          2
Vardas305      Pavarde305      4    2    3    7    1          9
Vardas306      Pavarde306      6    1    9    5    6          9
Vardas307      Pavarde307      3    3    9    2    6          4
Vardas308      Pavarde308      2    5    1    9    1          8
Vardas309      Pavarde309      9    4    6    3    6          1
Vardas310      Pavarde310      4    5    7    5    5          4
Vardas311      Pavarde311      2    3    9    2    10         1
Vardas312      Pavarde312      10   2    9    10   6         10
Vardas313      Pavarde313      6    9    5    4    8          8
Vardas314      Pavarde314      3    3    6    9    10         7
Vardas315      Pavarde315      1    2    7    3    4          8
Vardas316      Pavarde316      7    3    7    5    1          8
Vardas317      Pavarde317      2    8    6    9    8          4
Vardas318      Pavarde318      3    6    7    10   1          8
Vardas319      Pavarde319      5    9    1    4    8          7
Vardas320      Pavarde320      7    9    3    5    6          4
Vardas321      Pavarde321      6    1    8    2    7          1
Vardas322      Pavarde322      5    6    6    7    9          4
Vardas323      Pavarde323      10   6    2    6    8          8
Vardas324      Pavarde324      1    3    1    9    3          6
Vardas325      Pavarde325      1    5    10   5    6          2
Vardas326      Pavarde326      10   4    1    7    2          8
Vardas327      Pavarde327      4    2    6    4    10         6
Vardas328      Pavarde328      6    1    5    3    2          5
Vardas329      Pavarde329      1    4    4    10   2          7
Vardas330      Pavarde330      10   9    8    6    8          5
Vardas331      Pavarde331      2    1    2    4    8         10
Vardas332      Pavarde332      4    3    10   10   2          4
Vardas333      Pavarde333      10   4    3    10   4          7
Vardas334      Pavarde334      10   8    6    7    7          2
Vardas335      Pavarde335      8    7    5    5    3          7
Vardas336      Pavarde336      2    9    4    9    6          3
Vardas337      Pavarde337      3    1    7    3    6          6
Vardas338      Pavarde338      10   4    9    2    2          9
Vardas339      Pavarde339      3    9    2    1    3          2
Vardas340      Pavarde340      8    5    10   3    6          8
Vardas341      Pavarde341      2    8    4    2    5          1
Vardas342      Pavarde342      2    2    10   8    5          6
Vardas343      Pavarde343      10   1    6    2    2          9
Vardas344      Pavarde344      1    9    5    10   7         10
Vardas345      Pavarde345      8    3    7    3    4          4
Vardas346      Pavarde346      1    10   2    4    3          2
Vardas347      Pavarde347      1    7    3    6    2          4
Vardas348      Pavarde348      1    2    6    2    4          2
Vardas349      Pavarde349      1    8    9    8    6          1
Vardas350      Pavarde350      8    10   10   9    8          4
Vardas351      Pavarde351      9    10   3    7    1          2
Vardas352      Pavarde352      4    8    6    3    10         1
Vardas353      Pavarde353      5    6    6    9    3          8
Vardas354      Pavarde354      5    10   4    5    2          3
Vardas355      Pavarde355      8    9    1    2    2         10
Vardas356      Pavarde356      7    6    3    4    7         10
Vardas357      Pavarde357      5    5    3    7    5          2
Vardas358      Pavarde358      3    9    5    2    2          3
Vardas359      Pavarde359      3    6    9    5    4          5
Vardas360      Pavarde360      2    9    8    3    5         10
Vardas361      Pavarde361      5    7    2    10   4          8
Vardas362      Pavarde362      9    5    4    2    1          5
Vardas363      Pavarde363      10   10   9    5    3          5
Vardas364      Pavarde364      4    3    2    1    10         7
Vardas365      Pavarde365      9    7    2    3    10         2
Vardas366      Pavarde366      8    7    7    10   8          8
Vardas367      Pavarde367      1    4    4    1    3         10
Vardas368      Pavarde368      10   4    1    2    3          3
Vardas369      Pavarde369      1    3    5    9    9          9
Vardas370      Pavarde370      4    6    9    6    7          8
Vardas371      Pavarde371      10   9    9    9    6          5
Vardas372      Pavarde372      4    3    6    8    1          5
Vardas373      Pavarde373      3    10   5    4    10         5
Vardas374      Pavarde374      8    8    7    1    5          5
Vardas375      Pavarde375      4    5    4    6    8          4
Vardas376      Pavarde376      9    2    1    1    1          4
Vardas377      Pavarde377      7    6    3    3    5          2
Vardas378      Pavarde378      8    7    10   4    4          1
Vardas379      Pavarde379      4    4    4    1    6          5
Vardas380      Pavarde380      4    9    8    2    9          1
Vardas381      Pavarde381      5    9    8    2    2          4
Vardas382      Pavarde382      4    8    3    6    3          1
Vardas383      Pavarde383      9    3    4    5    6          9
Vardas384      Pavarde384      10   4    10   4    1          8
Vardas385      Pavarde385      7    2    7    3    9          1
Vardas386      Pavarde386      6    9    3    9    9          9
Vardas387      Pavarde387      1    7    3    3    3          1
Vardas388      Pavarde388      6    5    8    8    2          3
Vardas389      Pavarde389      6    1    2    5    2          4
Vardas390      Pavarde390      4    3    4    9    3          7
Vardas391      Pavarde391      9    5    3    6    2          8
Vardas392      Pavarde392      2    1    10   5    1          1
Vardas393      Pavarde393      5    1    9    10   6          2
Vardas394      Pavarde394      4    3    8    4    4          8
Vardas395      Pavarde395      10   9    8    7    7          5
Vardas396      Pavarde396      7    5    7    3    2         10
Vardas397      Pavarde397      6    7    3    3    9          9
Vardas398      Pavarde398      6    7    9    6    1          2
Vardas399      Pavarde399      6    1    1    2    2          7
Vardas400      Pavarde400      7    5    10   1    4          4
Vardas401      Pavarde401      10   9    8    1    5          4
Vardas402      Pavarde402      8    5    9    4    2          1
Vardas403      Pavarde403      6    2    8    1    7          9
Vardas404      Pavarde404      3    6    10   8    10         2
Vardas405      Pavarde405      5    5    2    4    9          7
Vardas406      Pavarde406      2    9    5    1    4          1
Vardas407      Pavarde407      5    9    4    2    10        10
Vardas408      Pavarde408      8    5    6    9    5          4
Vardas409      Pavarde409      7    3    1    6    7          8
Vardas410      Pavarde410      5    7    3    10   6          9
Vardas411      Pavarde411      5    7    1    2    4          2
Vardas412      Pavarde412      1    6    6    5    2          3
Vardas413      Pavarde413      5    1    6    7    8          3
Vardas414      Pavarde414      7    3    3    3    7          1
Vardas415      Pavarde415      10   2    2    3    2          6
Vardas416      Pavarde416      3    4    6    3    4         10
Vardas417      Pavarde417      5    2    2    10   3         10
Vardas418      Pavarde418      3    8    8    3    2          7
Vardas419      Pavarde419      2    9    10   6    3          4
Vardas420      Pavarde420      9    3    4    1    2          2
Vardas421      Pavarde421      7    8    7    5    1          6
Vardas422      Pavarde422      7    3    7    5    8          9
Vardas423      Pavarde423      6    5    4    9    10         5
Vardas424      Pavarde424      4    2    4    4    2          7
Vardas425      Pavarde425      10   10   3    6    5          5
Vardas426      Pavarde426      4    6    8    2    9          6
Vardas427      Pavarde427      7    7    8    3    5         10
Vardas428      Pavarde428      1    9    9    1    1          6
Vardas429      Pavarde429      6    2    10   4    4          6
Vardas430      Pavarde430      7    6    3    1    7          8
Vardas431      Pavarde431      2    5    3    3    5          5
Vardas432      Pavarde432      10   10   4    10   6          7
Vardas433      Pavarde433      4    6    4    2    4          5
Vardas434      Pavarde434      9    1    2    6    9         10
Vardas435      Pavarde435      1    8    5    9    10         2
Vardas436      Pavarde436      1    5    4    7    6          3
Vardas437      Pavarde437      3    2    2    5    4          9
Vardas438      Pavarde438      2    5    10   2    6          8
Vardas439      Pavarde439      7    6    5    6    4          7
Vardas440      Pavarde440      3    3    6    3    8          3
Vardas441      Pavarde441      5    7    3    5    7         10
Vardas442      Pavarde442      3    10   3    10   4          2
Vardas443      Pavarde443      2    7    5    6    6          5
Vardas444      Pavarde444      5    9    7    6    9          2
Vardas445      Pavarde445      3    6    10   7    7          8
Vardas446      Pavarde446      6    10   9    5    9          8
Vardas447      Pavarde447      1    2    6    8    7          2
Vardas448      Pavarde448      5    6    2    8    1          8
Vardas449      Pavarde449      10   5    5    8    9         10
Vardas450      Pavarde450      1    5    7    7    7          8
Vardas451      Pavarde451      4    10   5    7    10         5
Vardas452      Pavarde452      6    1    7    6    4          2
Vardas453      Pavarde453      9    1    7    1    2          3
Vardas454      Pavarde454      8    2    2    10   3          9
Vardas455      Pavarde455      9    4    2    1    10         3
Vardas456      Pavarde456      7    6    9    5    8          6
Vardas457      Pavarde457      2    2    1    10   9          9
Vardas458      Pavarde458      2    10   2    10   7          3
Vardas459      Pavarde459      4    3    6    8    5          3
Vardas460      Pavarde460      7    2    1    5    8          8
Vardas461      Pavarde461      2    3    10   9    2         10
Vardas462      Pavarde462      4    8    10   7    1          7
Vardas463      Pavarde463      3    3    2    10   2          3
Vardas464      Pavarde464      10   3    7    7    7         10
Vardas465      Pavarde465      1    2    5    1    9          1
Vardas466      Pavarde466      3    6    6    6    8          2
Vardas467      Pavarde467      2    5    6    9    8          9
Vardas468      Pavarde468      8    4    2    1    9         10
Vardas469      Pavarde469      1    7    10   7    2          6
Vardas470      Pavarde470      7    10   8    2    5          2
Vardas471      Pavarde471      6    1    1    7    9          9
Vardas472      Pavarde472      10   2    4    9    6          1
Vardas473      Pavarde473      8    1    1    1    1          5
Vardas474      Pavarde474      8    8    3    2    10         8
Vardas475      Pavarde475      3    5    8    6    2          4
Vardas476      Pavarde476      2    1    1    10   5          1
Vardas477      Pavarde477      7    9    7    7    8         10
Vardas478      Pavarde478      8    5    7    3    8          8
Vardas479      Pavarde479      1    6    1    1    1          7
Vardas480      Pavarde480      7    6    2    1    8          7
Vardas481      Pavarde481      10   1    8    4    8          3
Vardas482      Pavarde482      9    6    10   1    6          4
Vardas483      Pavarde483      6    1    1    3    7          6
Vardas484      Pavarde484      9    7    9    6    9          8
Vardas485      Pavarde485      5    2    9    10   9          4
Vardas486      Pavarde486      3    8    1    10   4          5
Vardas487      Pavarde487      5    5    4    4    2          1
Vardas488      Pavarde488      4    7    9    3    8         10
Vardas489      Pavarde489      5    5    6    8    10        10
Vardas490      Pavarde490      9    5    5    9    6          2
Vardas491      Pavarde491      7    5    2    3    1          3
Vardas492      Pavarde492      5    10   4    2    1          6
Vardas493      Pavarde493      6    10   1    8    3          7
Vardas494      Pavarde494      9    7    7    1    10        10
Vardas495      Pavarde495      3    9    5    9    9          8
Vardas496      Pavarde496      1    2    10   8    2          5
Vardas497      Pavarde497      10   5    10   8    6          3
Vardas498      Pavarde498      5    6    5    5    5          9
Vardas499      Pavarde499      6    6    3    6    9          1
Vardas500      Pavarde500      1    5    1    10   3         10
Vardas501      Pavarde501      1    2    3    6    10         9
Vardas502      Pavarde502      6    6    6    6    1          9
Vardas503      Pavarde503      5    2    10   10   2          5
Vardas504      Pavarde504      9    9    7    6    7         10
Vardas505      Pavarde505      6    6    5    3    5          8
Vardas506      Pavarde506      4    10   2    7    9          9
Vardas507      Pavarde507      10   9    2    10   6         10
Vardas508      Pavarde508      10   9    9    8    2          6
Vardas509      Pavarde509      10   1    6    2    6          6
Vardas510      Pavarde510      7    10   4    5    1          2
Vardas511      Pavarde511      9    10   5    1    3          4
Vardas512      Pavarde512      7    7    3    9    8          7
Vardas513      Pavarde513      1    2    5    6    7          3
Vardas514      Pavarde514      10   10   4    4    5          3
Vardas515      Pavarde515      6    9    2    7    10         8
Vardas516      Pavarde516      10   6    3    10   5          9
Vardas517      Pavarde517      5    6    9    9    7          1
Vardas518      Pavarde518      3    5    9    9    4          2
Vardas519      Pavarde519      4    4    1    6    1          3
Vardas520      Pavarde520      4    4    5    2    7          8
Vardas521      Pavarde521      4    4    2    1    3          1
Vardas522      Pavarde522      7    8    2    1    1          8
Vardas523      Pavarde523      2    1    4    3    4          2
Vardas524      Pavarde524      1    1    2    2    2          2
Vardas525      Pavarde525      2    6    7    8    3          8
Vardas526      Pavarde526      4    7    8    3    6          7
Vardas527      Pavarde527      2    3    7    7    2          5
Vardas528      Pavarde528      4    10   5    10   6          1
Vardas529      Pavarde529      8    6    10   3    5          1
Vardas530      Pavarde530      7    5    4    2    10         5
Vardas531      Pavarde531      9    10   6    3    3          1
Vardas532      Pavarde532      10   5    2    4    9          2
Vardas533      Pavarde533      4    2    3    5    2          6
Vardas534      Pavarde534      9    6    9    9    9          5
Vardas535      Pavarde535      6    6    7    5    3          1
Vardas536      Pavarde536      1    1    5    9    10         2
Vardas537      Pavarde537      7    9    9    6    7          7
Vardas538      Pavarde538      8    8    6    2    1          3
Vardas539      Pavarde539      5    6    7    1    2          3
Vardas540      Pavarde540      8    9    1    5    3          4
Vardas541      Pavarde541      3    8    2    6    7         10
Vardas542      Pavarde542      2    8    8    10   10         4
Vardas543      Pavarde543      2    7    3    6    4          4
Vardas544      Pavarde544      9    4    2    3    6          2
Vardas545      Pavarde545      4    1    4    4    2          3
Vardas546      Pavarde546      1    4    9    9    9          4
Vardas547      Pavarde547      2    8    8    1    5          8
Vardas548      Pavarde548      9    4    2    1    4          6
Vardas549      Pavarde549      1    3    7    2    6          2
Vardas550      Pavarde550      10   8    9    7    10         4
Vardas551      Pavarde551      7    10   7    1    1          1
Vardas552      Pavarde552      4    4    7    9    9          7
Vardas553      Pavarde553      6    9    1    4    1          6
Vardas554      Pavarde554      10   10   3    4    9          9
Vardas555      Pavarde555      6    10   3    8    5         10
Vardas556      Pavarde556      7    6    5    1    4          9
Vardas557      Pavarde557      3    7    3    2    6          4
