Vardas         Pavarde         ND1  ND2  ND3  ND4  ND5     Egz.
Vardas107      Pavarde107      10   4    4    3    3          3
Vardas108      Pavarde108      5    9    3    10   10         5
Vardas109      Pavarde109      1    4    9    6    5          7
Vardas110      Pavarde110      8    7    8    10   10         6
Vardas111      Pavarde111      4    3    4    4    3          6
Vardas112      Pavarde112      4    10   3    8    6          7
Vardas113      Pavarde113      6    9    10   1    5          9
Vardas114      Pavarde114      2    6    4    2    6          6
Vardas115      Pavarde115      3    1    6    7    1          6
Vardas116      Pavarde116      8    3    6    1    3          4
Vardas117      Pavarde117      1    8    8    8    5          6
Vardas118      Pavarde118      8    3    6    8    4          1
Vardas119      Pavarde119      2    8    10   8    10         1
Vardas120      Pavarde120      1    8    3    8    1         10
Vardas121      Pavarde121      5    3    9    5    7          5
Vardas122      Pavarde122      9    5    9    4    6          6
Vardas123      Pavarde123      4    10   10   7    5         10
Vardas124      Pavarde124      3    8    3    9    9          6
Vardas125      Pavarde125      1    6    10   5    1          2
Vardas126      Pavarde126      7    2    7    6    6          1
Vardas127      Pavarde127      9    5    4    4    7          9
Vardas128      Pavarde128      7    1    9    5    6         10
Vardas129      Pavarde129      8    9    9    9    8          8
Vardas130      Pavarde130      8    3    1    3    2          2
Vardas131      Pavarde131      5    6    1    4    8          3
Vardas132      Pavarde132      9    9    6    9    4         10
Vardas133      Pavarde133      8    2    2    8    1          7
Vardas134      Pavarde134      1    7    8    8    2          8
Vardas135      Pavarde135      8    3    3    6    10         3
Vardas136      Pavarde136      4    1    4    3    8         10
Vardas137      Pavarde137      8    6    6    4    5          5
Vardas138      Pavarde138      6    5    7    9    10         2
Vardas139      Pavarde139      7    2    6    6    8          5
Vardas140      Pavarde140      7    6    2    4    6         10
Vardas141      Pavarde141      5    6    8    1    6          7
Vardas142      Pavarde142      9    7    5    7    6          3
Vardas143      Pavarde143      7    9    10   10   6         10
Vardas144      Pavarde144      7    6    3    2    7          7
Vardas145      Pavarde145      4    8    10   1    4          6
Vardas146      Pavarde146      3    6    5    2    8          5
Vardas147      Pavarde147      3    2    8    1    3          6
Vardas148      Pavarde148      8    2    3    3    3          5
Vardas149      Pavarde149      10   5    8    2    9          5
Vardas150      Pavarde150      10   3    4    5    7          3
Vardas151      Pavarde151      1    9    4    5    10         7
Vardas152      Pavarde152      9    8    10   10   5          5
Vardas153      Pavarde153      6    5    2    3    5          2
Vardas154      Pavarde154      7    4    10   2    3          9
Vardas155      Pavarde155      1    5    5    10   3          7
Vardas156      Pavarde156      7    3    1    10   6          4
Vardas157      Pavarde157      2    6    7    5    1          5
Vardas158      Pavarde158      5    10   6    4    6          1
Vardas159      Pavarde159      7    4    8    8    2          6
Vardas160      Pavarde160      10   2    1    6    9          5
Vardas161      Pavarde161      4    8    5    10   5          6
Vardas162      Pavarde162      2    6    5    3    4          7
Vardas163      Pavarde163      1    10   2    2    10         6
Vardas164      Pavarde164      3    8    7    7    9          4
Vardas165      Pavarde165      2    9    2    6    3          3
Vardas166      Pavarde166      1    6    8    10   3          5
Vardas167      Pavarde167      2    5    10   3    2          7
Vardas168      Pavarde168      7    5    1    6    10        10
Vardas169      Pavarde169      7    9    1    3    7          7
Vardas170      Pavarde170      10   1    5    8    1          4
Vardas171      Pavarde171      6    1    2    9    1          2
Vardas172      Pavarde172      3    7    4    7    2          8
Vardas173      Pavarde173      1    1    3    3    5          9
Vardas174      Pavarde174      2    2    8    5    4          9
Vardas175      Pavarde175      5    4    1    4    3          9
Vardas176      Pavarde176      3    1    5    4    7          6
Vardas177      Pavarde177      1    8    1    10   6          5
Vardas178      Pavarde178      7    10   10   1    6          6
Vardas179      Pavarde179      2    8    2    9    1          4
Vardas180      Pavarde180      8    5    3    4    9          1
Vardas181      Pavarde181      4    7    7    4    9          7
Vardas182      Pavarde182      9    3    8    8    9          2
Vardas183      Pavarde183      7    8    7    8    6          7
Vardas184      Pavarde184      2    7    7    9    5          1
Vardas185      Pavarde185      10   6    8    10   7          1
Vardas186      Pavarde186      1    10   4    2    5          6
Vardas187      Pavarde187      6    4    9    3    8         10
Vardas188      Pavarde188      7    2    5    6    2          5
Vardas189      Pavarde189      2    5    9    9    9          4
Vardas190      Pavarde190      7    3    8    3    3          9
Vardas191      Pavarde191      7    8    6    1    10         4
Vardas192      Pavarde192      1    8    8    7    2          7
Vardas193      Pavarde193      9    2    7    10   1          8
Vardas194      Pavarde194      5    4    8    9    3          5
Vardas195      Pavarde195      8    3    4    4    6          5
Vardas196      Pavarde196      9    1    8    9    3          1
Vardas197      Pavarde197      2    4    8    8    4          2
Vardas198      Pavarde198      3    6    8    1    7          3
Vardas199      Pavarde199      1    10   6    6    5          2
Vardas200      Pavarde200      3    4    4    10   9          7
Vardas201      Pavarde201      3    6    4    9    1          8
Vardas202      Pavarde202      7    6    5    6    6          3
Vardas203      Pavarde203      1    4    2    10   8          4
Vardas204      Pavarde204      9    10   6    4    9          5
Vardas205      Pavarde205      9    3    2    5    8          9
Vardas206      Pavarde206      10   7    5    6    4          3
Vardas207      Pavarde207      1    7    1    4    4          5
Vardas208      Pavarde208      2    2    4    3    9          8
Vardas209      Pavarde209      4    1    1    4    9          8
Vardas210      Pavarde210      5    6    5    4    4          2
Vardas211      Pavarde211      7    7    2    8    4         10
Vardas212      Pavarde212      8    10   2    10   4          7
Vardas213      Pavarde213      6    8    2    10   1          6
Vardas214      Pavarde214      5    9    6    5    2          8
Vardas215      Pavarde215      10   6    7    2    6          8
Vardas216      Pavarde216      3    8    8    10   3          1
Vardas217      Pavarde217      8    4    6    8    4          1
Vardas218      Pavarde218      3    8    3    1    2          2
Vardas219      Pavarde219      4    8    6    8    5         10
Vardas220      Pavarde220      5    2    4    10   9         10
Vardas221      Pavarde221      2    9    9    3    3          2
Vardas222      Pavarde222      1    10   2    4    4          7
Vardas223      Pavarde223      10   10   10   1    1          5
Vardas224      Pavarde224      5    1    1    5    8          6
Vardas225      Pavarde225      1    4    2    1    5          8
Vardas226      Pavarde226      5    7    10   1    7          2
Vardas227      Pavarde227      4    7    9    7    4          8
Vardas228      Pavarde228      9    9    9    5    7          9
Vardas229      Pavarde229      8    3    1    2    6          8
Vardas230      Pavarde230      8    3    7    1    5          5
Vardas231      Pavarde231      4    4    7    10   9         10
Vardas232      Pavarde232      2    3    1    2    9          9
Vardas233      Pavarde233      10   2    4    2    8          7
Vardas234      Pavarde234      10   2    8    4    3          6
Vardas235      Pavarde235      3    10   6    6    4          5
Vardas236      Pavarde236      3    3    8    3    9          6
Vardas237      Pavarde237      9    6    1    3    10        10
Vardas238      Pavarde238      7    5    4    8    7          7
Vardas239      Pavarde239      7    4    10   1    1          5
Vardas240      Pavarde240      3    7    4    8    8          7
Vardas241      Pavarde241      2    2    10   9    4          7
Vardas242      Pavarde242      8    4    5    1    3          5
Vardas243      Pavarde243      7    8    1    5    7          6
Vardas244      Pavarde244      8    1    6    5    4          1
Vardas245      Pavarde245      8    2    3    2    3          1
Vardas246      Pavarde246      3    9    2    3    8         10
Vardas247      Pavarde247      8    6    5    3    4          4
Vardas248      Pavarde248      7    5    1    1    10         3
Vardas249      Pavarde249      9    3    6    1    7          1
Vardas250      Pavarde250      9    5    8    2    6          3
Vardas251      Pavarde251      2    1    8    6    2          2
Vardas252      Pavarde252      8    9    2    4    6          3
Vardas253      Pavarde253      6    9    6    6    9          9
Vardas254      Pavarde254      1    8    2    9    5          5
Vardas255      Pavarde255      2    2    4    6    4          3
Vardas256      Pavarde256      6    8    3    7    5          5
Vardas257      Pavarde257      3    2    8    8    4          5
Vardas258      Pavarde258      9    9    4    1    9          8
Vardas259      Pavarde259      2    1    6    5    6          6
Vardas260      Pavarde260      1    8    9    2    10         3
Vardas261      Pavarde261      8    7    3    4    6          5
Vardas262      Pavarde262      2    9    8    6    6          2
Vardas263      Pavarde263      4    7    5    6    10         5
Vardas264      Pavarde264      7    4    2    1    3          6
Vardas265      Pavarde265      8    6    8    3    4          6
Vardas266      Pavarde266      2    9    7    4    4          6
Vardas267      Pavarde267      5    9    9    4    5          4
Vardas268      Pavarde268      7    9    6    8    6          7
Vardas269      Pavarde269      7    1    10   8    8          1
Vardas270      Pavarde270      1    6    5    5    5          3
Vardas271      Pavarde271      3    9    3    2    1         10
Vardas272      Pavarde272      1    6    5    7    3          9
Vardas273      Pavarde273      1    6    9    4    5          7
Vardas274      Pavarde274      2    1    2    7    4          3
Vardas275      Pavarde275      4    7    2    8    9          7
Vardas276      Pavarde276      5    3    8    1    2          1
Vardas277      Pavarde277      5    9    10   1    3          5
Vardas278      Pavarde278      8    10   9    6    9          3
Vardas279      Pavarde279      2    4    4    7    1          6
Vardas280      Pavarde280      6    10   1    1    4          1
Vardas281      Pavarde281      9    10   10   5    10         9
Vardas282      Pavarde282      3    1    10   7    4          9
Vardas283      Pavarde283      1    7    2    4    3          6
Vardas284      Pavarde284      9    7    4    4    6          8
Vardas285      Pavarde285      1    7    2    10   4          9
Vardas286      Pavarde286      10   6    6    4    4          6
Vardas287      Pavarde287      6    5    8    3    6          4
Vardas288      Pavarde288      9    1    1    9    10         7
Vardas289      Pavarde289      2    1    9    3    1          9
Vardas290      Pavarde290      8    6    10   8    10         4
Vardas291      Pavarde291      9    5    8    5    6          9
Vardas292      Pavarde292      7    8    1    5    8          8
Vardas293      Pavarde293      2    10   6    3    3          7
Vardas294      Pavarde294      6    10   5    5    8          6
Vardas295      Pavarde295      6    8    3    8    1          2
Vardas296      Pavarde296      9    10   9    2    4          4
Vardas297      Pavarde297      2    2    4    8    1          5
Vardas298      Pavarde298      7    3    6    8    9          2
Vardas299      Pavarde299      4    6    7    10   4          2
Vardas300      Pavarde300      6    3    1    3    2          7
Vardas301      Pavarde301      9    7    5    7    4          2
Vardas302      Pavarde302      3    2    6    9    4          8
Vardas303      Pavarde303      4    9    7    1    1          6
Vardas304      Pavarde304      4    9    6    10   3          4
Vardas305      Pavarde305      7    6    7    2    8          1
Vardas306      Pavarde306      5    8    2    3    7          9
Vardas307      Pavarde307      3    10   4    5    9          2
Vardas308      Pavarde308      8    1    3    9    1          6
Vardas309      Pavarde309      6    4    6    4    3          8
Vardas310      Pavarde310      8    9    1    3    8          2
Vardas311      Pavarde311      5    4    6    2    1         10
Vardas312      Pavarde312      7    7    3    3    6         10
Vardas313      Pavarde313      8    5    1    6    3          7
Vardas314      Pavarde314      5    7    5    4    3          6
Vardas315      Pavarde315      6    1    9    2    1          1
Vardas316      Pavarde316      2    7    5    1    7         10
Vardas317      Pavarde317      9    8    9    3    6          5
Vardas318      Pavarde318      8    10   9    6    4          4
Vardas319      Pavarde319      9    2    8    8    1          6
Vardas320      Pavarde320      1    9    2    5    6          2
Vardas321      Pavarde321      8    10   4    2    6         10
Vardas322      Pavarde322      4    3    1    3    6          2
Vardas323      Pavarde323      7    10   9    10   5          7
Vardas324      Pavarde324      8    4    3    6    10         4
Vardas325      Pavarde325      5    1    7    4    5          6
Vardas326      Pavarde326      6    9    9    8    1          5
Vardas327      Pavarde327      8    2    10   10   9          9
Vardas328      Pavarde328      6    9    5    5    10         3
Vardas329      Pavarde329      7    10   10   4    7          2
Vardas330      Pavarde330      1    3    3    4    6          3
Vardas331      Pavarde331      4    7    7    10   6          1
Vardas332      Pavarde332      10   9    8    7    2         10
Vardas333      Pavarde333      3    5    1    6    6          1
Vardas334      Pavarde334      2    2    3    8    3          1
Vardas335      Pavarde335      1    5    8    5    4          5
Vardas336      Pavarde336      2    1    5    5    7          4
Vardas337      Pavarde337      9    4    10   1    7          1
Vardas338      Pavarde338      10   3    8    5    8          2
Vardas339      Pavarde339      7    8    2    6    1          5
Vardas340      Pavarde340      3    3    5    3    5         10
Vardas341      Pavarde341      8    3    5    3    3          2
Vardas342      Pavarde342      7    10   7    9    8          8
Vardas343      Pavarde343      7    6    6    8    1         10
Vardas344      Pavarde344      1    9    9    5    4          5
Vardas345      Pavarde345      4    7    6    2    9          4
Vardas346      Pavarde346      10   1    8    4    1         10
Vardas347      Pavarde347      9    3    5    9    7          3
Vardas348      Pavarde348      3    3    5    10   9         10
Vardas349      Pavarde349      4    5    8    8    6         10
Vardas350      Pavarde350      10   10   8    2    9          5
Vardas351      Pavarde351      3    5    4    10   3          6
Vardas352      Pavarde352      2    3    1    4    1          2
Vardas353      Pavarde353      1    9    1    6    6          2
Vardas354      Pavarde354      3    8    10   8    2          7
Vardas355      Pavarde355      4    3    6    10   9          2
Vardas356      Pavarde356      6    7    5    1    8          5
Vardas357      Pavarde357      1    9    3    5    2          9
Vardas358      Pavarde358      2    4    10   5    6          8
Vardas359      Pavarde359      2    9    4    9    4          5
Vardas360      Pavarde360      4    3    4    6    9         10
Vardas361      Pavarde361      7    5    7    5    3          2
Vardas362      Pavarde362      5    4    7    1    7          5
Vardas363      Pavarde363      5    10   4    3    5          1
Vardas364      Pavarde364      2    10   9    5    7          2
Vardas365      Pavarde365      4    4    8    5    5          5
Vardas366      Pavarde366      10   7    7    5    5          6
Vardas367      Pavarde367      4    5    5    4    4          4
Vardas368      Pavarde368      10   3    3    1    3          4
Vardas369      Pavarde369      4    4    4    7    10         1
Vardas370      Pavarde370      4    2    3    1    2          4
Vardas371      Pavarde371      4    6    9    8    3          8
Vardas372      Pavarde372      10   10   9    4    10         3
Vardas373      Pavarde373      10   4    4    4    4         10
Vardas374      Pavarde374      2    6    8    5    7         10
Vardas375      Pavarde375      9    1    7    9    6          5
Vardas376      Pavarde376      4    1    7    5    8          4
Vardas377      Pavarde377      6    6    10   3    9          7
Vardas378      Pavarde378      4    5    5    4    8          9
Vardas379      Pavarde379      4    4    10   4    4          6
Vardas380      Pavarde380      5    2    2    3    5          6
Vardas381      Pavarde381      9    8    10   6    5          7
Vardas382      Pavarde382      7    2    7    10   10         9
Vardas383      Pavarde383      4    4    7    6    7         10
Vardas384      Pavarde384      4    9    4    3    1          2
Vardas385      Pavarde385      10   10   6    4    1          1
Vardas386      Pavarde386      5    6    4    2    8          4
Vardas387      Pavarde387      3    8    1    5    1          8
Vardas388      Pavarde388      9    9    8    5    4          9
Vardas389      Pavarde389      4    10   2    5    3          8
Vardas390      Pavarde390      3    4    6    9    2          7
Vardas391      Pavarde391      7    7    9    4    2          9
Vardas392      Pavarde392      2    5    5    1    8          3
Vardas393      Pavarde393      2    8    9    7    8          2
Vardas394      Pavarde394      7    6    6    4    3          4
Vardas395      Pavarde395      9    10   4    6    7          5
Vardas396      Pavarde396      3    8    8    1    1          1
Vardas397      Pavarde397      8    5    3    3    10         5
Vardas398      Pavarde398      4    7    4    6    6          5
Vardas399      Pavarde399      5    10   2    8    7          6
Vardas400      Pavarde400      7    7    7    7    2          6
Vardas401      Pavarde401      8    8    4    7    1          4
Vardas402      Pavarde402      3    8    3    8    6          5
Vardas403      Pavarde403      10   2    6    6    10         2
Vardas404      Pavarde404      10   1    7    3    9          1
Vardas405      Pavarde405      7    2    8    10   10         1
Vardas406      Pavarde406      9    5    10   6    2          7
Vardas407      Pavarde407      5    10   9    6    6          8
Vardas408      Pavarde408      6    6    10   8    1          1
Vardas409      Pavarde409      3    3    7    4    5          8
Vardas410      Pavarde410      5    8    10   4    7         10
Vardas411      Pavarde411      8    10   1    9    4          1
Vardas412      Pavarde412      3    1    9    2    4          6
Vardas413      Pavarde413      3    1    7    7    7          6
Vardas414      Pavarde414      1    9    4    6    2          2
Vardas415      Pavarde415      2    4    4    4    10         3
Vardas416      Pavarde416      7    1    2    6    10         9
Vardas417      Pavarde417      6    6    5    6    5          3
Vardas418      Pavarde418      5    5    8    3    4          1
Vardas419      Pavarde419      1    3    2    5    3          9
Vardas420      Pavarde420      2    4    5    1    10         2
Vardas421      Pavarde421      5    8    1    9    7          6
Vardas422      Pavarde422      10   6    2    5    7          3
Vardas423      Pavarde423      7    5    4    1    6          5
Vardas424      Pavarde424      3    2    4    1    4          8
Vardas425      Pavarde425      5    1    9    6    8          1
Vardas426      Pavarde426      9    3    7    9    10         5
Vardas427      Pavarde427      5    4    3    3    5          9
Vardas428      Pavarde428      7    1    5    2    7          9
Vardas429      Pavarde429      4    9    8    6    3          7
Vardas430      Pavarde430      5    4    7    4    3          3
Vardas431      Pavarde431      7    6    7    10   1          5
Vardas432      Pavarde432      9    6    4    2    6          9
Vardas433      Pavarde433      8    5    1    7    5          3
Vardas434      Pavarde434      9    8    10   7    6          8
Vardas435      Pavarde435      5    7    3    4    9          2
Vardas436      Pavarde436      5    6    5    2    9          2
Vardas437      Pavarde437      2    8    1    2    9          6
Vardas438      Pavarde438      2    1    5    1    10         7
Vardas439      Pavarde439      5    3    6    9    3          5
Vardas440      Pavarde440      5    4    5    9    10         3
Vardas441      Pavarde441      1    9    5    4    9          6
Vardas442      Pavarde442      10   9    1    2    9          9
Vardas443      Pavarde443      9    4    9    8    9          5
Vardas444      Pavarde444      1    4    6    4    6          9
Vardas445      Pavarde445      4    1    9    1    4          1
Vardas446      Pavarde446      6    2    2    9    7          8
Vardas447      Pavarde447      10   3    7    8    10         3
Vardas448      Pavarde448      10   4    1    10   7          8
Vardas449      Pavarde449      7    4    6    9    3          5
Vardas450      Pavarde450      6    9    3    5    8          6
Vardas451      Pavarde451      10   9    1    4    9          2
Vardas452      Pavarde452      2    7    6    5    8         10
Vardas453      Pavarde453      3    7    6    3    8          8
Vardas454      Pavarde454      5    4    7    5    4          9
Vardas455      Pavarde455      1    10   10   2    1          3
Vardas456      Pavarde456      5    8    1    3    5          8
Vardas457      Pavarde457      5    8    2    2    10         3
Vardas458      Pavarde458      7    6    9    5    3          3
Vardas459      Pavarde459      10   8    7    4    5         10
Vardas460      Pavarde460      2    1    8    3    6          8
Vardas461      Pavarde461      7    6    1    8    2          9
Vardas462      Pavarde462      1    5    8    6    8          7
Vardas463      Pavarde463      3    7    5    7    9          1
Vardas464      Pavarde464      7    8    5    4    1          9
Vardas465      Pavarde465      2    2    3    4    10         2
Vardas466      Pavarde466      1    8    1    4    10         2
Vardas467      Pavarde467      6    2    6    5    2          8
Vardas468      Pavarde468      8    7    1    3    8          2
Vardas469      Pavarde469      7    2    1    4    4          8
Vardas470      Pavarde470      3    7    4    9    7          1
Vardas471      Pavarde471      8    9    4    10   7          8
Vardas472      Pavarde472      4    3    6    2    8          1
Vardas473      Pavarde473      1    9    10   1    4          9
Vardas474      Pavarde474      4    10   10   1    10         4
Vardas475      Pavarde475      8    9    10   6    1          9
Vardas476      Pavarde476      3    1    3    8    3          4
Vardas477      Pavarde477      8    2    1    1    6          4
Vardas478      Pavarde478      3    3    1    4    1          4
Vardas479      Pavarde479      3    7    2    1    5          8
Vardas480      Pavarde480      6    3    9    1    7          6
Vardas481      Pavarde481      5    8    7    3    6          7
Vardas482      Pavarde482      8    5    1    5    8          2
Vardas483      Pavarde483      6    5    6    6    4          1
Vardas484      Pavarde484      1    7    5    10   8          8
Vardas485      Pavarde485      6    3    9    5    10         8
Vardas486      Pavarde486      2    4    7    4    7          3
Vardas487      Pavarde487      8    2    5    2    1         10
Vardas488      Pavarde488      2    1    10   1    9          6
Vardas489      Pavarde489      2    8    8    9    4          6
Vardas490      Pavarde490      3    9    8    4    9          8
Vardas491      Pavarde491      8    6    5    2    4          7
Vardas492      Pavarde492      4    2    7    10   4          9
Vardas493      Pavarde493      3    9    9    1    8          4
Vardas494      Pavarde494      4    6    1    6    3          7
Vardas495      Pavarde495      3    10   7    9    6          7
Vardas496      Pavarde496      3    3    9    3    2          2
Vardas497      Pavarde497      8    5    2    3    1          3
Vardas498      Pavarde498      2    10   7    5    3          9
Vardas499      Pavarde499      2    10   6    9    9          4
Vardas500      Pavarde500      6    4    1    1    8          2
Vardas501      Pavarde501      4    7    9    8    6          6
Vardas502      Pavarde502      2    2    3    4    3          3
Vardas503      Pavarde503      1    3    2    8    5          8
Vardas504      Pavarde504      8    2    7    3    9          7
Vardas505      Pavarde505      10   8    5    3    9          7
Vardas506      Pavarde506      5    9    5    4    1          4
Vardas507      Pavarde507      2    6    5    7    1          7
Vardas508      Pavarde508      9    5    4    10   4          9
Vardas509      Pavarde509      10   6    10   8    2         10
Vardas510      Pavarde510      3    9    2    1    3          4
Vardas511      Pavarde511      1    6    10   5    4          2
Vardas512      Pavarde512      10   10   3    7    7          4
Vardas513      Pavarde513      7    8    3    4    6          4
Vardas514      Pavarde514      8    10   3    8    4          9
Vardas515      Pavarde515      6    3    7    9    1          1
Vardas516      Pavarde516      8    8    3    2    3         10
Vardas517      Pavarde517      9    8    3    3    10         8
Vardas518      Pavarde518      8    4    9    6    10         1
Vardas519      Pavarde519      10   5    1    4    10         6
Vardas520      Pavarde520      7    5    3    8    3          4
Vardas521      Pavarde521      8    6    3    4    6          7
Vardas522      Pavarde522      3    3    2    6    2         10
Vardas523      Pavarde523      7    1    8    8    1          8
Vardas524      Pavarde524      2    8    5    9    9          2
Vardas525      Pavarde525      8    2    3    7    2          7
Vardas526      Pavarde526      4    4    2    6    10         1
Vardas527      Pavarde527      7    4    3    6    10         9
Vardas528      Pavarde528      1    5    5    6    10         2
Vardas529      Pavarde529      4    8    5    4    1          9
Vardas530      Pavarde530      10   1    2    10   2          7
Vardas531      Pavarde531      5    6    8    2    3          9
Vardas532      Pavarde532      7    4    7    3    6          4
Vardas533      Pavarde533      8    6    1    7    5          5
Vardas534      Pavarde534      9    10   4    4    10         1
Vardas535      Pavarde535      2    1    7    8    10         8
Vardas536      Pavarde536      7    7    5    9    7          1
Vardas537      Pavarde537      8    1    1    7    10         1
Vardas538      Pavarde538      10   7    9    5    2          2
Vardas539      Pavarde539      9    6    8    5    4          1
Vardas540      Pavarde540      5    5    5    2    2          2
Vardas541      Pavarde541      5    1    10   1    7          8
Vardas542      Pavarde542      10   10   6    4    10         5
Vardas543      Pavarde543      7    10   9    2    3          5
Vardas544      Pavarde544      6    3    8    3    9          3
Vardas545      Pavarde545      5    5    4    7    9          2
Vardas546      Pavarde546      5    9    10   1    3          3
Vardas547      Pavarde547      3    9    3    8    3          7
Vardas548      Pavarde548      7    2    2    3    5          2
Vardas549      Pavarde549      7    6    1    4    8          5
Vardas550      Pavarde550      2    7    3    1    10        10
Vardas551      Pavarde551      7    2    1    4    3          7
Vardas552      Pavarde552      9    8    4    8    1          7
Vardas553      Pavarde553      6    4    8    5    2          4
Vardas554      Pavarde554      10   3    10   9    6          2
Vardas555      Pavarde555      2    2    8    4    3          7
Vardas556      Pavarde556      1    4    6    4    1          9
Vardas557      Pavarde557      2    1    2    2    10        10
